exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,376,446,315,131,61,0.7063,0.8378,0.7664,0.6246
db_bench_press,0.5,376,446,226,220,150,0.5067,0.6011,0.5499,0.7065
db_bench_press,0.75,376,446,81,365,295,0.1816,0.2154,0.1971,0.8694
db_biceps_curl,0.25,323,339,294,45,29,0.8673,0.9102,0.8882,0.6779
db_biceps_curl,0.5,323,339,203,136,120,0.5988,0.6285,0.6133,0.803
db_biceps_curl,0.75,323,339,127,212,196,0.3746,0.3932,0.3837,0.9123
db_rdl,0.25,336,330,313,17,23,0.9485,0.9315,0.9399,0.6781
db_rdl,0.5,336,330,259,71,77,0.7848,0.7708,0.7778,0.73
db_rdl,0.75,336,330,115,215,221,0.3485,0.3423,0.3453,0.8662
db_shoulder_press,0.25,313,288,271,17,42,0.941,0.8658,0.9018,0.6297
db_shoulder_press,0.5,313,288,198,90,115,0.6875,0.6326,0.6589,0.7078
db_shoulder_press,0.75,313,288,80,208,233,0.2778,0.2556,0.2662,0.8452
db_squat,0.25,350,337,328,9,22,0.9733,0.9371,0.9549,0.7317
db_squat,0.5,350,337,289,48,61,0.8576,0.8257,0.8413,0.7739
db_squat,0.75,350,337,174,163,176,0.5163,0.4971,0.5066,0.8661
db_triceps_curl,0.25,341,330,314,16,27,0.9515,0.9208,0.9359,0.7174
db_triceps_curl,0.5,341,330,259,71,82,0.7848,0.7595,0.772,0.7796
db_triceps_curl,0.75,341,330,152,178,189,0.4606,0.4457,0.4531,0.8842
db_weighted_crunch,0.25,335,338,317,21,18,0.9379,0.9463,0.9421,0.7307
db_weighted_crunch,0.5,335,338,268,70,67,0.7929,0.8,0.7964,0.7887
db_weighted_crunch,0.75,335,338,175,163,160,0.5178,0.5224,0.5201,0.8782
one_arm_db_row,0.25,346,332,330,2,16,0.994,0.9538,0.9735,0.741
one_arm_db_row,0.5,346,332,285,47,61,0.8584,0.8237,0.8407,0.7931
one_arm_db_row,0.75,346,332,174,158,172,0.5241,0.5029,0.5133,0.885
