subject,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
haoyu0512workout,0.25,290,346,275,71,15,0.7948,0.9483,0.8648,0.7631
haoyu0512workout,0.5,290,346,249,97,41,0.7197,0.8586,0.783,0.8002
haoyu0512workout,0.75,290,346,169,177,121,0.4884,0.5828,0.5314,0.8712
haoyu0512workout,0.85,290,346,109,237,181,0.315,0.3759,0.3428,0.9106
haoyu0512workout,0.9,290,346,55,291,235,0.159,0.1897,0.173,0.9447
haoyu0512workout,0.95,290,346,22,324,268,0.0636,0.0759,0.0692,0.9723
hsianshun0514workout,0.25,292,284,250,34,42,0.8803,0.8562,0.8681,0.7965
hsianshun0514workout,0.5,292,284,231,53,61,0.8134,0.7911,0.8021,0.8263
hsianshun0514workout,0.75,292,284,169,115,123,0.5951,0.5788,0.5868,0.8927
hsianshun0514workout,0.85,292,284,127,157,165,0.4472,0.4349,0.441,0.9213
hsianshun0514workout,0.9,292,284,87,197,205,0.3063,0.2979,0.3021,0.9422
hsianshun0514workout,0.95,292,284,34,250,258,0.1197,0.1164,0.1181,0.9663
kevin0509workout,0.25,300,328,284,44,16,0.8659,0.9467,0.9045,0.7174
kevin0509workout,0.5,300,328,233,95,67,0.7104,0.7767,0.742,0.7835
kevin0509workout,0.75,300,328,136,192,164,0.4146,0.4533,0.4331,0.9037
kevin0509workout,0.85,300,328,104,224,196,0.3171,0.3467,0.3312,0.9303
kevin0509workout,0.9,300,328,78,250,222,0.2378,0.26,0.2484,0.9477
kevin0509workout,0.95,300,328,37,291,263,0.1128,0.1233,0.1178,0.9675
thomas0506,0.25,322,309,301,8,21,0.9741,0.9348,0.954,0.7219
thomas0506,0.5,322,309,234,75,88,0.7573,0.7267,0.7417,0.8153
thomas0506,0.75,322,309,169,140,153,0.5469,0.5248,0.5357,0.8877
thomas0506,0.85,322,309,120,189,202,0.3883,0.3727,0.3803,0.9198
thomas0506,0.9,322,309,83,226,239,0.2686,0.2578,0.2631,0.939
thomas0506,0.95,322,309,29,280,293,0.0939,0.0901,0.0919,0.9702
yanz0510workout,0.25,326,344,313,31,13,0.9099,0.9601,0.9343,0.6083
yanz0510workout,0.5,326,344,247,97,79,0.718,0.7577,0.7373,0.6549
yanz0510workout,0.75,326,344,52,292,274,0.1512,0.1595,0.1552,0.8083
yanz0510workout,0.85,326,344,9,335,317,0.0262,0.0276,0.0269,0.8902
yanz0510workout,0.9,326,344,3,341,323,0.0087,0.0092,0.009,0.9253
yanz0510workout,0.95,326,344,1,343,325,0.0029,0.0031,0.003,0.9501
yentsen0515workout,0.25,296,276,255,21,41,0.9239,0.8615,0.8916,0.6806
yentsen0515workout,0.5,296,276,189,87,107,0.6848,0.6385,0.6608,0.7762
yentsen0515workout,0.75,296,276,121,155,175,0.4384,0.4088,0.4231,0.857
yentsen0515workout,0.85,296,276,62,214,234,0.2246,0.2095,0.2168,0.9135
yentsen0515workout,0.9,296,276,35,241,261,0.1268,0.1182,0.1224,0.9445
yentsen0515workout,0.95,296,276,17,259,279,0.0616,0.0574,0.0594,0.9698
yoru0511workout,0.25,317,279,268,11,49,0.9606,0.8454,0.8993,0.6207
yoru0511workout,0.5,317,279,171,108,146,0.6129,0.5394,0.5738,0.739
yoru0511workout,0.75,317,279,86,193,231,0.3082,0.2713,0.2886,0.8741
yoru0511workout,0.85,317,279,59,220,258,0.2115,0.1861,0.198,0.9035
yoru0511workout,0.9,317,279,28,251,289,0.1004,0.0883,0.094,0.9413
yoru0511workout,0.95,317,279,13,266,304,0.0466,0.041,0.0436,0.9598
yushuan0513workout,0.25,283,269,258,11,25,0.9591,0.9117,0.9348,0.6919
yushuan0513workout,0.5,283,269,198,71,85,0.7361,0.6996,0.7174,0.7778
yushuan0513workout,0.75,283,269,111,158,172,0.4126,0.3922,0.4022,0.8884
yushuan0513workout,0.85,283,269,77,192,206,0.2862,0.2721,0.279,0.9251
yushuan0513workout,0.9,283,269,55,214,228,0.2045,0.1943,0.1993,0.9442
yushuan0513workout,0.95,283,269,20,249,263,0.0743,0.0707,0.0725,0.9752
ziho0512workout,0.25,294,305,278,27,16,0.9115,0.9456,0.9282,0.6531
ziho0512workout,0.5,294,305,235,70,59,0.7705,0.7993,0.7846,0.692
ziho0512workout,0.75,294,305,65,240,229,0.2131,0.2211,0.217,0.8574
ziho0512workout,0.85,294,305,33,272,261,0.1082,0.1122,0.1102,0.9177
ziho0512workout,0.9,294,305,20,285,274,0.0656,0.068,0.0668,0.9459
ziho0512workout,0.95,294,305,10,295,284,0.0328,0.034,0.0334,0.9722
