plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,359,19021,0.5,13,60,5,55,8,0.0833,0.3846,0.137,0.5837
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,19964,25106,0.5,12,12,12,0,0,1.0,1.0,1.0,0.7482
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/003_haoyu0512workout_db_bench_press_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,33305,38692,0.5,12,5,2,3,10,0.4,0.1667,0.2353,0.5595
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,297769,302173,0.5,12,12,10,2,2,0.8333,0.8333,0.8333,0.8158
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,313227,317714,0.5,12,11,9,2,3,0.8182,0.75,0.7826,0.88
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,2,336367,337025,0.5,1,16,0,16,1,0.0,0.0,0.0,0.0
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,339520,344004,0.5,12,12,8,4,4,0.6667,0.6667,0.6667,0.8237
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/008_haoyu0512workout_db_rdl_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,123099,128661,0.5,12,12,12,0,0,1.0,1.0,1.0,0.7764
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/009_haoyu0512workout_db_rdl_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,137920,142914,0.5,12,12,11,1,1,0.9167,0.9167,0.9167,0.771
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/010_haoyu0512workout_db_rdl_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,156977,162782,0.5,12,13,12,1,0,0.9231,1.0,0.96,0.7823
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0,246003,250953,0.5,12,13,11,2,1,0.8462,0.9167,0.88,0.7291
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,1,264367,268739,0.5,12,12,10,2,2,0.8333,0.8333,0.8333,0.7634
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,2,279757,284939,0.5,12,12,10,2,2,0.8333,0.8333,0.8333,0.7848
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/014_haoyu0512workout_db_squat_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,0,422448,426891,0.5,12,12,12,0,0,1.0,1.0,1.0,0.7575
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/015_haoyu0512workout_db_squat_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,1,438166,441973,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8158
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/016_haoyu0512workout_db_squat_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,2,452861,456244,0.5,12,12,11,1,1,0.9167,0.9167,0.9167,0.7758
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/017_haoyu0512workout_db_triceps_curl_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,0,374608,379459,0.5,12,12,8,4,4,0.6667,0.6667,0.6667,0.854
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/018_haoyu0512workout_db_triceps_curl_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,1,386605,391293,0.5,12,12,11,1,1,0.9167,0.9167,0.9167,0.7792
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/019_haoyu0512workout_db_triceps_curl_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,2,400511,404826,0.5,12,12,11,1,1,0.9167,0.9167,0.9167,0.7989
