iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou,method
0.25,2720,2740,2482,258,238,0.9058,0.9125,0.9092,0.6931,universal-gyro-valley
0.5,2720,2740,1987,753,733,0.7252,0.7305,0.7278,0.7624,universal-gyro-valley
0.75,2720,2740,1078,1662,1642,0.3934,0.3963,0.3949,0.8778,universal-gyro-valley
0.85,2720,2740,700,2040,2020,0.2555,0.2574,0.2564,0.9184,universal-gyro-valley
0.9,2720,2740,444,2296,2276,0.162,0.1632,0.1626,0.9433,universal-gyro-valley
0.95,2720,2740,183,2557,2537,0.0668,0.0673,0.067,0.9689,universal-gyro-valley
0.5,2720,2658,1985,673,735,0.7468,0.7298,0.7382,0.7622,multifeature-score
0.75,2720,2658,1104,1554,1616,0.4153,0.4059,0.4106,0.8727,multifeature-score
0.85,2720,2658,675,1983,2045,0.254,0.2482,0.251,0.9184,multifeature-score
0.9,2720,2658,436,2222,2284,0.164,0.1603,0.1621,0.9425,multifeature-score
0.95,2720,2658,167,2491,2553,0.0628,0.0614,0.0621,0.9721,multifeature-score
