exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou,method
db_bench_press,0.25,376,446,315,131,61,0.7063,0.8378,0.7664,0.6246,universal-gyro-valley
db_bench_press,0.5,376,446,226,220,150,0.5067,0.6011,0.5499,0.7065,universal-gyro-valley
db_bench_press,0.75,376,446,81,365,295,0.1816,0.2154,0.1971,0.8694,universal-gyro-valley
db_bench_press,0.85,376,446,48,398,328,0.1076,0.1277,0.1168,0.918,universal-gyro-valley
db_bench_press,0.9,376,446,30,416,346,0.0673,0.0798,0.073,0.9417,universal-gyro-valley
db_bench_press,0.95,376,446,11,435,365,0.0247,0.0293,0.0268,0.9664,universal-gyro-valley
db_biceps_curl,0.25,323,339,294,45,29,0.8673,0.9102,0.8882,0.6779,universal-gyro-valley
db_biceps_curl,0.5,323,339,203,136,120,0.5988,0.6285,0.6133,0.803,universal-gyro-valley
db_biceps_curl,0.75,323,339,127,212,196,0.3746,0.3932,0.3837,0.9123,universal-gyro-valley
db_biceps_curl,0.85,323,339,110,229,213,0.3245,0.3406,0.3323,0.9289,universal-gyro-valley
db_biceps_curl,0.9,323,339,81,258,242,0.2389,0.2508,0.2447,0.9483,universal-gyro-valley
db_biceps_curl,0.95,323,339,38,301,285,0.1121,0.1176,0.1148,0.9686,universal-gyro-valley
db_rdl,0.25,336,330,313,17,23,0.9485,0.9315,0.9399,0.6781,universal-gyro-valley
db_rdl,0.5,336,330,259,71,77,0.7848,0.7708,0.7778,0.73,universal-gyro-valley
db_rdl,0.75,336,330,115,215,221,0.3485,0.3423,0.3453,0.8662,universal-gyro-valley
db_rdl,0.85,336,330,69,261,267,0.2091,0.2054,0.2072,0.9119,universal-gyro-valley
db_rdl,0.9,336,330,38,292,298,0.1152,0.1131,0.1141,0.9438,universal-gyro-valley
db_rdl,0.95,336,330,13,317,323,0.0394,0.0387,0.039,0.9749,universal-gyro-valley
db_shoulder_press,0.25,313,288,271,17,42,0.941,0.8658,0.9018,0.6297,universal-gyro-valley
db_shoulder_press,0.5,313,288,198,90,115,0.6875,0.6326,0.6589,0.7078,universal-gyro-valley
db_shoulder_press,0.75,313,288,80,208,233,0.2778,0.2556,0.2662,0.8452,universal-gyro-valley
db_shoulder_press,0.85,313,288,35,253,278,0.1215,0.1118,0.1165,0.9108,universal-gyro-valley
db_shoulder_press,0.9,313,288,19,269,294,0.066,0.0607,0.0632,0.9427,universal-gyro-valley
db_shoulder_press,0.95,313,288,9,279,304,0.0312,0.0288,0.03,0.9682,universal-gyro-valley
db_squat,0.25,350,337,328,9,22,0.9733,0.9371,0.9549,0.7317,universal-gyro-valley
db_squat,0.5,350,337,289,48,61,0.8576,0.8257,0.8413,0.7739,universal-gyro-valley
db_squat,0.75,350,337,174,163,176,0.5163,0.4971,0.5066,0.8661,universal-gyro-valley
db_squat,0.85,350,337,97,240,253,0.2878,0.2771,0.2824,0.915,universal-gyro-valley
db_squat,0.9,350,337,56,281,294,0.1662,0.16,0.163,0.9421,universal-gyro-valley
db_squat,0.95,350,337,23,314,327,0.0682,0.0657,0.067,0.9705,universal-gyro-valley
db_triceps_curl,0.25,341,330,314,16,27,0.9515,0.9208,0.9359,0.7174,universal-gyro-valley
db_triceps_curl,0.5,341,330,259,71,82,0.7848,0.7595,0.772,0.7796,universal-gyro-valley
db_triceps_curl,0.75,341,330,152,178,189,0.4606,0.4457,0.4531,0.8842,universal-gyro-valley
db_triceps_curl,0.85,341,330,104,226,237,0.3152,0.305,0.31,0.9217,universal-gyro-valley
db_triceps_curl,0.9,341,330,72,258,269,0.2182,0.2111,0.2146,0.9418,universal-gyro-valley
db_triceps_curl,0.95,341,330,29,301,312,0.0879,0.085,0.0864,0.9672,universal-gyro-valley
db_weighted_crunch,0.25,335,338,317,21,18,0.9379,0.9463,0.9421,0.7307,universal-gyro-valley
db_weighted_crunch,0.5,335,338,268,70,67,0.7929,0.8,0.7964,0.7887,universal-gyro-valley
db_weighted_crunch,0.75,335,338,175,163,160,0.5178,0.5224,0.5201,0.8782,universal-gyro-valley
db_weighted_crunch,0.85,335,338,120,218,215,0.355,0.3582,0.3566,0.9093,universal-gyro-valley
db_weighted_crunch,0.9,335,338,69,269,266,0.2041,0.206,0.2051,0.9384,universal-gyro-valley
db_weighted_crunch,0.95,335,338,24,314,311,0.071,0.0716,0.0713,0.967,universal-gyro-valley
one_arm_db_row,0.25,346,332,330,2,16,0.994,0.9538,0.9735,0.741,universal-gyro-valley
one_arm_db_row,0.5,346,332,285,47,61,0.8584,0.8237,0.8407,0.7931,universal-gyro-valley
one_arm_db_row,0.75,346,332,174,158,172,0.5241,0.5029,0.5133,0.885,universal-gyro-valley
one_arm_db_row,0.85,346,332,117,215,229,0.3524,0.3382,0.3451,0.9239,universal-gyro-valley
one_arm_db_row,0.9,346,332,79,253,267,0.238,0.2283,0.233,0.9453,universal-gyro-valley
one_arm_db_row,0.95,346,332,36,296,310,0.1084,0.104,0.1062,0.9699,universal-gyro-valley
db_bench_press,0.5,376,409,218,191,158,0.533,0.5798,0.5554,0.7279,multifeature-score
db_bench_press,0.75,376,409,111,298,265,0.2714,0.2952,0.2828,0.8532,multifeature-score
db_bench_press,0.85,376,409,54,355,322,0.132,0.1436,0.1376,0.9088,multifeature-score
db_bench_press,0.9,376,409,31,378,345,0.0758,0.0824,0.079,0.9367,multifeature-score
db_bench_press,0.95,376,409,10,399,366,0.0244,0.0266,0.0255,0.9729,multifeature-score
db_biceps_curl,0.5,323,321,241,80,82,0.7508,0.7461,0.7484,0.7756,multifeature-score
db_biceps_curl,0.75,323,321,149,172,174,0.4642,0.4613,0.4627,0.8805,multifeature-score
db_biceps_curl,0.85,323,321,100,221,223,0.3115,0.3096,0.3106,0.9197,multifeature-score
db_biceps_curl,0.9,323,321,69,252,254,0.215,0.2136,0.2143,0.9397,multifeature-score
db_biceps_curl,0.95,323,321,24,297,299,0.0748,0.0743,0.0745,0.9682,multifeature-score
db_rdl,0.5,336,319,237,82,99,0.7429,0.7054,0.7237,0.743,multifeature-score
db_rdl,0.75,336,319,111,208,225,0.348,0.3304,0.3389,0.8659,multifeature-score
db_rdl,0.85,336,319,61,258,275,0.1912,0.1815,0.1863,0.9181,multifeature-score
db_rdl,0.9,336,319,37,282,299,0.116,0.1101,0.113,0.9468,multifeature-score
db_rdl,0.95,336,319,16,303,320,0.0502,0.0476,0.0489,0.9744,multifeature-score
db_shoulder_press,0.5,313,287,217,70,96,0.7561,0.6933,0.7233,0.7666,multifeature-score
db_shoulder_press,0.75,313,287,124,163,189,0.4321,0.3962,0.4133,0.8771,multifeature-score
db_shoulder_press,0.85,313,287,77,210,236,0.2683,0.246,0.2567,0.9214,multifeature-score
db_shoulder_press,0.9,313,287,51,236,262,0.1777,0.1629,0.17,0.9447,multifeature-score
db_shoulder_press,0.95,313,287,20,267,293,0.0697,0.0639,0.0667,0.9746,multifeature-score
db_squat,0.5,350,333,275,58,75,0.8258,0.7857,0.8053,0.777,multifeature-score
db_squat,0.75,350,333,163,170,187,0.4895,0.4657,0.4773,0.8754,multifeature-score
db_squat,0.85,350,333,102,231,248,0.3063,0.2914,0.2987,0.9239,multifeature-score
db_squat,0.9,350,333,71,262,279,0.2132,0.2029,0.2079,0.9455,multifeature-score
db_squat,0.95,350,333,27,306,323,0.0811,0.0771,0.0791,0.975,multifeature-score
db_triceps_curl,0.5,341,336,273,63,68,0.8125,0.8006,0.8065,0.8256,multifeature-score
db_triceps_curl,0.75,341,336,201,135,140,0.5982,0.5894,0.5938,0.8854,multifeature-score
db_triceps_curl,0.85,341,336,140,196,201,0.4167,0.4106,0.4136,0.9204,multifeature-score
db_triceps_curl,0.9,341,336,88,248,253,0.2619,0.2581,0.26,0.9467,multifeature-score
db_triceps_curl,0.95,341,336,40,296,301,0.119,0.1173,0.1182,0.9736,multifeature-score
db_weighted_crunch,0.5,335,322,251,71,84,0.7795,0.7493,0.7641,0.7097,multifeature-score
db_weighted_crunch,0.75,335,322,96,226,239,0.2981,0.2866,0.2922,0.8529,multifeature-score
db_weighted_crunch,0.85,335,322,45,277,290,0.1398,0.1343,0.137,0.9114,multifeature-score
db_weighted_crunch,0.9,335,322,28,294,307,0.087,0.0836,0.0852,0.9354,multifeature-score
db_weighted_crunch,0.95,335,322,8,314,327,0.0248,0.0239,0.0244,0.9641,multifeature-score
one_arm_db_row,0.5,346,331,273,58,73,0.8248,0.789,0.8065,0.761,multifeature-score
one_arm_db_row,0.75,346,331,149,182,197,0.4502,0.4306,0.4402,0.8732,multifeature-score
one_arm_db_row,0.85,346,331,96,235,250,0.29,0.2775,0.2836,0.9151,multifeature-score
one_arm_db_row,0.9,346,331,61,270,285,0.1843,0.1763,0.1802,0.9379,multifeature-score
one_arm_db_row,0.95,346,331,22,309,324,0.0665,0.0636,0.065,0.9685,multifeature-score
