fold,file,subject,exercise,set_id,period,expected_count,count_options,candidate_count,predicted_reps,boundaries
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,0,169.0,26,"24,25,26,27,28",995,24,"0,171,405,576,740,924,1101,1248,1478,1651,1817,2007,2242,2400,2586,2775,2931,3120,3273,3484,3718,3874,4064,4265,4434"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,1,371.0,13,"11,12,13,14,15",467,13,"12580,12873,13362,13600,13967,14326,14703,15105,15473,15866,16229,16606,16957,17270"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,2,340.0,12,"10,11,12,13,14",393,12,"33899,34215,34591,34904,35172,35610,35958,36305,36588,36947,37337,37667,38010"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,3,357.0,12,"10,11,12,13,14",407,12,"44668,45060,45424,45751,46124,46532,46826,47168,47541,47938,48266,48625,48985"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,4,324.0,11,"9,10,11,12,13",354,9,"55642,56041,56414,56800,57181,57519,57982,58330,58781,59116"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_biceps_curl,0,282.0,12,"10,11,12,13,14",423,13,"269699,269904,270174,270466,270721,270977,271262,271515,271719,271926,272191,272500,272766,273022"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_biceps_curl,1,266.0,12,"10,11,12,13,14",436,12,"279828,280169,280425,280683,280965,281214,281477,281755,281983,282254,282537,282830,283061"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_biceps_curl,2,280.0,8,"6,7,8,9,10",289,9,"289832,290088,290338,290612,290904,291189,291470,291621,291924,292172"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_rdl,0,421.0,13,"11,12,13,14,15",496,12,"131402,131927,132355,132811,133224,133759,134154,134749,135110,135623,136086,136538,137005"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_rdl,1,405.0,12,"10,11,12,13,14",424,12,"144891,145247,145689,145984,146465,146886,147308,147693,148045,148497,148834,149279,149678"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_rdl,2,393.0,12,"10,11,12,13,14",417,12,"156473,156854,157329,157647,158050,158343,158756,159135,159522,159936,160333,160739,161046"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_shoulder_press,0,321.0,6,"4,5,6,7,8",186,7,"212222,212465,212796,213098,213433,213656,213943,214230"
