exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.5,376,409,218,191,158,0.533,0.5798,0.5554,0.7279
db_bench_press,0.75,376,409,111,298,265,0.2714,0.2952,0.2828,0.8532
db_bench_press,0.85,376,409,54,355,322,0.132,0.1436,0.1376,0.9088
db_bench_press,0.9,376,409,31,378,345,0.0758,0.0824,0.079,0.9367
db_bench_press,0.95,376,409,10,399,366,0.0244,0.0266,0.0255,0.9729
db_biceps_curl,0.5,323,321,241,80,82,0.7508,0.7461,0.7484,0.7756
db_biceps_curl,0.75,323,321,149,172,174,0.4642,0.4613,0.4627,0.8805
db_biceps_curl,0.85,323,321,100,221,223,0.3115,0.3096,0.3106,0.9197
db_biceps_curl,0.9,323,321,69,252,254,0.215,0.2136,0.2143,0.9397
db_biceps_curl,0.95,323,321,24,297,299,0.0748,0.0743,0.0745,0.9682
db_rdl,0.5,336,319,237,82,99,0.7429,0.7054,0.7237,0.743
db_rdl,0.75,336,319,111,208,225,0.348,0.3304,0.3389,0.8659
db_rdl,0.85,336,319,61,258,275,0.1912,0.1815,0.1863,0.9181
db_rdl,0.9,336,319,37,282,299,0.116,0.1101,0.113,0.9468
db_rdl,0.95,336,319,16,303,320,0.0502,0.0476,0.0489,0.9744
db_shoulder_press,0.5,313,287,217,70,96,0.7561,0.6933,0.7233,0.7666
db_shoulder_press,0.75,313,287,124,163,189,0.4321,0.3962,0.4133,0.8771
db_shoulder_press,0.85,313,287,77,210,236,0.2683,0.246,0.2567,0.9214
db_shoulder_press,0.9,313,287,51,236,262,0.1777,0.1629,0.17,0.9447
db_shoulder_press,0.95,313,287,20,267,293,0.0697,0.0639,0.0667,0.9746
db_squat,0.5,350,333,275,58,75,0.8258,0.7857,0.8053,0.777
db_squat,0.75,350,333,163,170,187,0.4895,0.4657,0.4773,0.8754
db_squat,0.85,350,333,102,231,248,0.3063,0.2914,0.2987,0.9239
db_squat,0.9,350,333,71,262,279,0.2132,0.2029,0.2079,0.9455
db_squat,0.95,350,333,27,306,323,0.0811,0.0771,0.0791,0.975
db_triceps_curl,0.5,341,336,273,63,68,0.8125,0.8006,0.8065,0.8256
db_triceps_curl,0.75,341,336,201,135,140,0.5982,0.5894,0.5938,0.8854
db_triceps_curl,0.85,341,336,140,196,201,0.4167,0.4106,0.4136,0.9204
db_triceps_curl,0.9,341,336,88,248,253,0.2619,0.2581,0.26,0.9467
db_triceps_curl,0.95,341,336,40,296,301,0.119,0.1173,0.1182,0.9736
db_weighted_crunch,0.5,335,322,251,71,84,0.7795,0.7493,0.7641,0.7097
db_weighted_crunch,0.75,335,322,96,226,239,0.2981,0.2866,0.2922,0.8529
db_weighted_crunch,0.85,335,322,45,277,290,0.1398,0.1343,0.137,0.9114
db_weighted_crunch,0.9,335,322,28,294,307,0.087,0.0836,0.0852,0.9354
db_weighted_crunch,0.95,335,322,8,314,327,0.0248,0.0239,0.0244,0.9641
one_arm_db_row,0.5,346,331,273,58,73,0.8248,0.789,0.8065,0.761
one_arm_db_row,0.75,346,331,149,182,197,0.4502,0.4306,0.4402,0.8732
one_arm_db_row,0.85,346,331,96,235,250,0.29,0.2775,0.2836,0.9151
one_arm_db_row,0.9,346,331,61,270,285,0.1843,0.1763,0.1802,0.9379
one_arm_db_row,0.95,346,331,22,309,324,0.0665,0.0636,0.065,0.9685
