subject,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
haoyu0512workout,0.5,290,301,231,70,59,0.7674,0.7966,0.7817,0.7947
haoyu0512workout,0.75,290,301,153,148,137,0.5083,0.5276,0.5178,0.8742
haoyu0512workout,0.85,290,301,96,205,194,0.3189,0.331,0.3249,0.9175
haoyu0512workout,0.9,290,301,64,237,226,0.2126,0.2207,0.2166,0.9412
haoyu0512workout,0.95,290,301,24,277,266,0.0797,0.0828,0.0812,0.9726
hsianshun0514workout,0.5,292,263,165,98,127,0.6274,0.5651,0.5946,0.6924
hsianshun0514workout,0.75,292,263,61,202,231,0.2319,0.2089,0.2198,0.8638
hsianshun0514workout,0.85,292,263,35,228,257,0.1331,0.1199,0.1261,0.9091
hsianshun0514workout,0.9,292,263,20,243,272,0.076,0.0685,0.0721,0.9373
hsianshun0514workout,0.95,292,263,7,256,285,0.0266,0.024,0.0252,0.9667
kevin0509workout,0.5,300,339,220,119,80,0.649,0.7333,0.6886,0.8097
kevin0509workout,0.75,300,339,149,190,151,0.4395,0.4967,0.4664,0.8989
kevin0509workout,0.85,300,339,115,224,185,0.3392,0.3833,0.3599,0.9278
kevin0509workout,0.9,300,339,87,252,213,0.2566,0.29,0.2723,0.9447
kevin0509workout,0.95,300,339,34,305,266,0.1003,0.1133,0.1064,0.9708
thomas0506,0.5,322,307,282,25,40,0.9186,0.8758,0.8967,0.7986
thomas0506,0.75,322,307,191,116,131,0.6221,0.5932,0.6073,0.8751
thomas0506,0.85,322,307,121,186,201,0.3941,0.3758,0.3847,0.9175
thomas0506,0.9,322,307,72,235,250,0.2345,0.2236,0.2289,0.9452
thomas0506,0.95,322,307,32,275,290,0.1042,0.0994,0.1017,0.9697
yanz0510workout,0.5,326,342,268,74,58,0.7836,0.8221,0.8024,0.7239
yanz0510workout,0.75,326,342,118,224,208,0.345,0.362,0.3533,0.8421
yanz0510workout,0.85,326,342,41,301,285,0.1199,0.1258,0.1228,0.9178
yanz0510workout,0.9,326,342,26,316,300,0.076,0.0798,0.0778,0.9437
yanz0510workout,0.95,326,342,9,333,317,0.0263,0.0276,0.0269,0.9719
yentsen0515workout,0.5,296,264,199,65,97,0.7538,0.6723,0.7107,0.6974
yentsen0515workout,0.75,296,264,67,197,229,0.2538,0.2264,0.2393,0.8725
yentsen0515workout,0.85,296,264,40,224,256,0.1515,0.1351,0.1429,0.9269
yentsen0515workout,0.9,296,264,23,241,273,0.0871,0.0777,0.0821,0.9624
yentsen0515workout,0.95,296,264,16,248,280,0.0606,0.0541,0.0571,0.9767
yoru0511workout,0.5,317,272,152,120,165,0.5588,0.4795,0.5161,0.7225
yoru0511workout,0.75,317,272,67,205,250,0.2463,0.2114,0.2275,0.8604
yoru0511workout,0.85,317,272,38,234,279,0.1397,0.1199,0.129,0.909
yoru0511workout,0.9,317,272,24,248,293,0.0882,0.0757,0.0815,0.9311
yoru0511workout,0.95,317,272,7,265,310,0.0257,0.0221,0.0238,0.9582
yushuan0513workout,0.5,283,268,224,44,59,0.8358,0.7915,0.8131,0.7973
yushuan0513workout,0.75,283,268,145,123,138,0.541,0.5124,0.5263,0.8872
yushuan0513workout,0.85,283,268,103,165,180,0.3843,0.364,0.3739,0.9209
yushuan0513workout,0.9,283,268,72,196,211,0.2687,0.2544,0.2613,0.94
yushuan0513workout,0.95,283,268,23,245,260,0.0858,0.0813,0.0835,0.9751
ziho0512workout,0.5,294,302,244,58,50,0.8079,0.8299,0.8188,0.7812
ziho0512workout,0.75,294,302,153,149,141,0.5066,0.5204,0.5134,0.8613
ziho0512workout,0.85,294,302,86,216,208,0.2848,0.2925,0.2886,0.9097
ziho0512workout,0.9,294,302,48,254,246,0.1589,0.1633,0.1611,0.9377
ziho0512workout,0.95,294,302,15,287,279,0.0497,0.051,0.0503,0.9786
