plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,359,19021,0.9,13,30,0,30,13,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,19964,25106,0.9,12,12,6,6,6,0.5,0.5,0.5,0.9456
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/003_haoyu0512workout_db_bench_press_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,33305,38692,0.9,12,5,0,5,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,297769,302173,0.9,12,11,1,10,11,0.0909,0.0833,0.087,0.912
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,313227,317714,0.9,12,13,3,10,9,0.2308,0.25,0.24,0.935
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,2,336367,337025,0.9,1,0,0,0,1,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,339520,344004,0.9,12,11,1,10,11,0.0909,0.0833,0.087,0.922
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/008_haoyu0512workout_db_rdl_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,123099,128661,0.9,12,12,5,7,7,0.4167,0.4167,0.4167,0.9257
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/009_haoyu0512workout_db_rdl_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,137920,142914,0.9,12,12,1,11,11,0.0833,0.0833,0.0833,0.9271
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/010_haoyu0512workout_db_rdl_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,156977,162782,0.9,12,13,4,9,8,0.3077,0.3333,0.32,0.9657
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0,246003,250953,0.9,12,13,5,8,7,0.3846,0.4167,0.4,0.9521
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,1,264367,268739,0.9,12,12,3,9,9,0.25,0.25,0.25,0.9147
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,2,279757,284939,0.9,12,11,0,11,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/014_haoyu0512workout_db_squat_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,0,422448,426891,0.9,12,12,2,10,10,0.1667,0.1667,0.1667,0.9565
