true_label,pred_label,count
db_bench_press,db_bench_press,304
db_bench_press,db_squat,1
db_bench_press,one_arm_db_row,0
db_bench_press,db_triceps_curl,1
db_bench_press,db_weighted_crunch,26
db_bench_press,db_rdl,0
db_bench_press,db_biceps_curl,1
db_bench_press,db_shoulder_press,98
db_squat,db_bench_press,0
db_squat,db_squat,326
db_squat,one_arm_db_row,0
db_squat,db_triceps_curl,0
db_squat,db_weighted_crunch,21
db_squat,db_rdl,0
db_squat,db_biceps_curl,5
db_squat,db_shoulder_press,18
one_arm_db_row,db_bench_press,0
one_arm_db_row,db_squat,0
one_arm_db_row,one_arm_db_row,431
one_arm_db_row,db_triceps_curl,0
one_arm_db_row,db_weighted_crunch,0
one_arm_db_row,db_rdl,47
one_arm_db_row,db_biceps_curl,0
one_arm_db_row,db_shoulder_press,0
db_triceps_curl,db_bench_press,5
db_triceps_curl,db_squat,1
db_triceps_curl,one_arm_db_row,0
db_triceps_curl,db_triceps_curl,308
db_triceps_curl,db_weighted_crunch,4
db_triceps_curl,db_rdl,0
db_triceps_curl,db_biceps_curl,14
db_triceps_curl,db_shoulder_press,1
db_weighted_crunch,db_bench_press,38
db_weighted_crunch,db_squat,23
db_weighted_crunch,one_arm_db_row,0
db_weighted_crunch,db_triceps_curl,12
db_weighted_crunch,db_weighted_crunch,74
db_weighted_crunch,db_rdl,0
db_weighted_crunch,db_biceps_curl,0
db_weighted_crunch,db_shoulder_press,100
db_rdl,db_bench_press,0
db_rdl,db_squat,0
db_rdl,one_arm_db_row,77
db_rdl,db_triceps_curl,0
db_rdl,db_weighted_crunch,0
db_rdl,db_rdl,273
db_rdl,db_biceps_curl,0
db_rdl,db_shoulder_press,0
db_biceps_curl,db_bench_press,6
db_biceps_curl,db_squat,0
db_biceps_curl,one_arm_db_row,1
db_biceps_curl,db_triceps_curl,0
db_biceps_curl,db_weighted_crunch,4
db_biceps_curl,db_rdl,0
db_biceps_curl,db_biceps_curl,337
db_biceps_curl,db_shoulder_press,1
db_shoulder_press,db_bench_press,106
db_shoulder_press,db_squat,9
db_shoulder_press,one_arm_db_row,0
db_shoulder_press,db_triceps_curl,0
db_shoulder_press,db_weighted_crunch,40
db_shoulder_press,db_rdl,0
db_shoulder_press,db_biceps_curl,3
db_shoulder_press,db_shoulder_press,215
