file,subject,exercise_hint,start,end,samples,best_true_iou
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,0,57,57,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,57,110,53,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,110,178,68,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,178,278,100,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,278,438,160,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,438,618,180,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,618,740,122,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,740,877,137,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,877,1094,217,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,1094,1240,146,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,1240,1324,84,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,1324,1434,110,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,1434,1576,142,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,1576,1670,94,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,1670,1803,133,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,1803,1980,177,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,1980,2104,124,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,2104,2254,150,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,2254,2390,136,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,2390,2518,128,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,2518,2696,178,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,2696,2868,172,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,2868,3012,144,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,3012,3137,125,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,3137,3237,100,0.0
