exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,340,11206,315,10891,25,0.0281,0.9265,0.0546,0.4402
db_bench_press,0.5,340,11206,89,11117,251,0.0079,0.2618,0.0154,0.5987
db_bench_press,0.75,340,11206,10,11196,330,0.0009,0.0294,0.0017,0.8587
db_biceps_curl,0.25,288,1428,277,1151,11,0.194,0.9618,0.3228,0.5417
db_biceps_curl,0.5,288,1428,160,1268,128,0.112,0.5556,0.1865,0.6375
db_biceps_curl,0.75,288,1428,33,1395,255,0.0231,0.1146,0.0385,0.8375
db_rdl,0.25,293,1754,275,1479,18,0.1568,0.9386,0.2687,0.4327
db_rdl,0.5,293,1754,74,1680,219,0.0422,0.2526,0.0723,0.593
db_rdl,0.75,293,1754,7,1747,286,0.004,0.0239,0.0068,0.8034
db_shoulder_press,0.25,277,1504,261,1243,16,0.1735,0.9422,0.2931,0.4633
db_shoulder_press,0.5,277,1504,94,1410,183,0.0625,0.3394,0.1056,0.6101
db_shoulder_press,0.75,277,1504,14,1490,263,0.0093,0.0505,0.0157,0.8328
db_squat,0.25,312,1559,287,1272,25,0.1841,0.9199,0.3068,0.4805
db_squat,0.5,312,1559,121,1438,191,0.0776,0.3878,0.1293,0.6017
db_squat,0.75,312,1559,13,1546,299,0.0083,0.0417,0.0139,0.8001
db_triceps_curl,0.25,305,1479,302,1177,3,0.2042,0.9902,0.3386,0.4911
db_triceps_curl,0.5,305,1479,111,1368,194,0.0751,0.3639,0.1244,0.6827
db_triceps_curl,0.75,305,1479,39,1440,266,0.0264,0.1279,0.0437,0.8711
db_weighted_crunch,0.25,299,1524,280,1244,19,0.1837,0.9365,0.3072,0.4074
db_weighted_crunch,0.5,299,1524,46,1478,253,0.0302,0.1538,0.0505,0.5955
db_weighted_crunch,0.75,299,1524,2,1522,297,0.0013,0.0067,0.0022,0.8923
one_arm_db_row,0.25,310,1649,307,1342,3,0.1862,0.9903,0.3134,0.4629
one_arm_db_row,0.5,310,1649,105,1544,205,0.0637,0.3387,0.1072,0.5836
one_arm_db_row,0.75,310,1649,6,1643,304,0.0036,0.0194,0.0061,0.8158
