file,subject,pred_start,pred_end,matched_exercise,matched_iou,source
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,357,536,db_bench_press,0.571,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,536,654,db_bench_press,0.3831,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,775,886,db_bench_press,0.2612,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1218,1456,db_bench_press,0.5075,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1628,1834,db_bench_press,0.5435,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1834,1963,db_bench_press,0.2637,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1963,2196,db_bench_press,0.4765,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2196,2430,db_bench_press,0.4755,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2430,2577,db_bench_press,0.4236,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2577,2712,db_bench_press,0.389,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2884,3113,db_bench_press,0.4771,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3415,3742,db_bench_press,0.6579,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3742,3968,db_bench_press,0.5795,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3968,4139,db_bench_press,0.3756,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4139,4288,db_bench_press,0.3079,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4288,4464,db_bench_press,0.3636,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4464,4599,db_bench_press,0.2737,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4599,4736,db_bench_press,0.2831,dominant_axis
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4736,4866,db_bench_press,0.2686,dominant_axis
