exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,304,304,304,0,0,1.0,1.0,1.0,1.0
db_bench_press,0.5,304,304,304,0,0,1.0,1.0,1.0,1.0
db_bench_press,0.75,304,304,304,0,0,1.0,1.0,1.0,1.0
db_biceps_curl,0.25,259,259,259,0,0,1.0,1.0,1.0,1.0
db_biceps_curl,0.5,259,259,259,0,0,1.0,1.0,1.0,1.0
db_biceps_curl,0.75,259,259,259,0,0,1.0,1.0,1.0,1.0
db_rdl,0.25,257,257,257,0,0,1.0,1.0,1.0,1.0
db_rdl,0.5,257,257,257,0,0,1.0,1.0,1.0,1.0
db_rdl,0.75,257,257,257,0,0,1.0,1.0,1.0,1.0
db_shoulder_press,0.25,243,243,243,0,0,1.0,1.0,1.0,1.0
db_shoulder_press,0.5,243,243,243,0,0,1.0,1.0,1.0,1.0
db_shoulder_press,0.75,243,243,243,0,0,1.0,1.0,1.0,1.0
db_squat,0.25,276,276,276,0,0,1.0,1.0,1.0,1.0
db_squat,0.5,276,276,276,0,0,1.0,1.0,1.0,1.0
db_squat,0.75,276,276,276,0,0,1.0,1.0,1.0,1.0
db_triceps_curl,0.25,270,270,270,0,0,1.0,1.0,1.0,1.0
db_triceps_curl,0.5,270,270,270,0,0,1.0,1.0,1.0,1.0
db_triceps_curl,0.75,270,270,270,0,0,1.0,1.0,1.0,1.0
db_weighted_crunch,0.25,261,261,261,0,0,1.0,1.0,1.0,1.0
db_weighted_crunch,0.5,261,261,261,0,0,1.0,1.0,1.0,1.0
db_weighted_crunch,0.75,261,261,261,0,0,1.0,1.0,1.0,1.0
one_arm_db_row,0.25,262,262,262,0,0,1.0,1.0,1.0,1.0
one_arm_db_row,0.5,262,262,262,0,0,1.0,1.0,1.0,1.0
one_arm_db_row,0.75,262,262,262,0,0,1.0,1.0,1.0,1.0
