true_label,pred_label,count
db_bench_press,db_bench_press,217
db_bench_press,db_squat,2
db_bench_press,db_triceps_curl,1
db_bench_press,one_arm_db_row,0
db_bench_press,db_weighted_crunch,32
db_bench_press,db_biceps_curl,2
db_bench_press,db_rdl,0
db_bench_press,db_shoulder_press,50
db_bench_press,other,0
db_squat,db_bench_press,3
db_squat,db_squat,259
db_squat,db_triceps_curl,3
db_squat,one_arm_db_row,0
db_squat,db_weighted_crunch,2
db_squat,db_biceps_curl,0
db_squat,db_rdl,0
db_squat,db_shoulder_press,9
db_squat,other,0
db_triceps_curl,db_bench_press,0
db_triceps_curl,db_squat,4
db_triceps_curl,db_triceps_curl,261
db_triceps_curl,one_arm_db_row,0
db_triceps_curl,db_weighted_crunch,3
db_triceps_curl,db_biceps_curl,2
db_triceps_curl,db_rdl,0
db_triceps_curl,db_shoulder_press,0
db_triceps_curl,other,0
one_arm_db_row,db_bench_press,0
one_arm_db_row,db_squat,0
one_arm_db_row,db_triceps_curl,0
one_arm_db_row,one_arm_db_row,227
one_arm_db_row,db_weighted_crunch,0
one_arm_db_row,db_biceps_curl,0
one_arm_db_row,db_rdl,35
one_arm_db_row,db_shoulder_press,0
one_arm_db_row,other,0
db_weighted_crunch,db_bench_press,10
db_weighted_crunch,db_squat,1
db_weighted_crunch,db_triceps_curl,9
db_weighted_crunch,one_arm_db_row,0
db_weighted_crunch,db_weighted_crunch,225
db_weighted_crunch,db_biceps_curl,0
db_weighted_crunch,db_rdl,0
db_weighted_crunch,db_shoulder_press,16
db_weighted_crunch,other,0
db_biceps_curl,db_bench_press,0
db_biceps_curl,db_squat,0
db_biceps_curl,db_triceps_curl,35
db_biceps_curl,one_arm_db_row,1
db_biceps_curl,db_weighted_crunch,3
db_biceps_curl,db_biceps_curl,220
db_biceps_curl,db_rdl,0
db_biceps_curl,db_shoulder_press,0
db_biceps_curl,other,0
db_rdl,db_bench_press,0
db_rdl,db_squat,0
db_rdl,db_triceps_curl,0
db_rdl,one_arm_db_row,34
db_rdl,db_weighted_crunch,0
db_rdl,db_biceps_curl,0
db_rdl,db_rdl,223
db_rdl,db_shoulder_press,0
db_rdl,other,0
db_shoulder_press,db_bench_press,99
db_shoulder_press,db_squat,6
db_shoulder_press,db_triceps_curl,0
db_shoulder_press,one_arm_db_row,0
db_shoulder_press,db_weighted_crunch,7
db_shoulder_press,db_biceps_curl,0
db_shoulder_press,db_rdl,0
db_shoulder_press,db_shoulder_press,131
db_shoulder_press,other,0
other,db_bench_press,0
other,db_squat,0
other,db_triceps_curl,0
other,one_arm_db_row,0
other,db_weighted_crunch,0
other,db_biceps_curl,0
other,db_rdl,0
other,db_shoulder_press,0
other,other,0
