iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou,method
0.25,2424,34780,1842,32938,582,0.053,0.7599,0.099,0.448,dominant-axis
0.5,2424,34780,544,34236,1880,0.0156,0.2244,0.0292,0.6305,dominant-axis
0.75,2424,34780,106,34674,2318,0.003,0.0437,0.0057,0.8478,dominant-axis
0.25,2424,21185,2222,18963,202,0.1049,0.9167,0.1882,0.4683,short-time-energy
0.5,2424,21185,767,20418,1657,0.0362,0.3164,0.065,0.6504,short-time-energy
0.75,2424,21185,143,21042,2281,0.0068,0.059,0.0121,0.8451,short-time-energy
0.25,2424,18505,1984,16521,440,0.1072,0.8185,0.1896,0.4536,pca-extrema
0.5,2424,18505,627,17878,1797,0.0339,0.2587,0.0599,0.6209,pca-extrema
0.75,2424,18505,96,18409,2328,0.0052,0.0396,0.0092,0.8412,pca-extrema
0.25,2424,9618,1926,7692,498,0.2002,0.7946,0.3199,0.5806,pca-extrema-fft
0.5,2424,9618,1211,8407,1213,0.1259,0.4996,0.2011,0.6702,pca-extrema-fft
0.75,2424,9618,357,9261,2067,0.0371,0.1473,0.0593,0.8559,pca-extrema-fft
