exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou,method
db_bench_press,0.25,340,11206,315,10891,25,0.0281,0.9265,0.0546,0.4402,dominant-axis
db_bench_press,0.5,340,11206,89,11117,251,0.0079,0.2618,0.0154,0.5987,dominant-axis
db_bench_press,0.75,340,11206,10,11196,330,0.0009,0.0294,0.0017,0.8587,dominant-axis
db_biceps_curl,0.25,288,1428,277,1151,11,0.194,0.9618,0.3228,0.5417,dominant-axis
db_biceps_curl,0.5,288,1428,160,1268,128,0.112,0.5556,0.1865,0.6375,dominant-axis
db_biceps_curl,0.75,288,1428,33,1395,255,0.0231,0.1146,0.0385,0.8375,dominant-axis
db_rdl,0.25,293,1754,275,1479,18,0.1568,0.9386,0.2687,0.4327,dominant-axis
db_rdl,0.5,293,1754,74,1680,219,0.0422,0.2526,0.0723,0.593,dominant-axis
db_rdl,0.75,293,1754,7,1747,286,0.004,0.0239,0.0068,0.8034,dominant-axis
db_shoulder_press,0.25,277,1504,261,1243,16,0.1735,0.9422,0.2931,0.4633,dominant-axis
db_shoulder_press,0.5,277,1504,94,1410,183,0.0625,0.3394,0.1056,0.6101,dominant-axis
db_shoulder_press,0.75,277,1504,14,1490,263,0.0093,0.0505,0.0157,0.8328,dominant-axis
db_squat,0.25,312,1559,287,1272,25,0.1841,0.9199,0.3068,0.4805,dominant-axis
db_squat,0.5,312,1559,121,1438,191,0.0776,0.3878,0.1293,0.6017,dominant-axis
db_squat,0.75,312,1559,13,1546,299,0.0083,0.0417,0.0139,0.8001,dominant-axis
db_triceps_curl,0.25,305,1479,302,1177,3,0.2042,0.9902,0.3386,0.4911,dominant-axis
db_triceps_curl,0.5,305,1479,111,1368,194,0.0751,0.3639,0.1244,0.6827,dominant-axis
db_triceps_curl,0.75,305,1479,39,1440,266,0.0264,0.1279,0.0437,0.8711,dominant-axis
db_weighted_crunch,0.25,299,1524,280,1244,19,0.1837,0.9365,0.3072,0.4074,dominant-axis
db_weighted_crunch,0.5,299,1524,46,1478,253,0.0302,0.1538,0.0505,0.5955,dominant-axis
db_weighted_crunch,0.75,299,1524,2,1522,297,0.0013,0.0067,0.0022,0.8923,dominant-axis
one_arm_db_row,0.25,310,1649,307,1342,3,0.1862,0.9903,0.3134,0.4629,dominant-axis
one_arm_db_row,0.5,310,1649,105,1544,205,0.0637,0.3387,0.1072,0.5836,dominant-axis
one_arm_db_row,0.75,310,1649,6,1643,304,0.0036,0.0194,0.0061,0.8158,dominant-axis
db_bench_press,0.25,340,7317,326,6991,14,0.0446,0.9588,0.0852,0.4877,short-time-energy
db_bench_press,0.5,340,7317,122,7195,218,0.0167,0.3588,0.0319,0.6312,short-time-energy
db_bench_press,0.75,340,7317,23,7294,317,0.0031,0.0676,0.006,0.8253,short-time-energy
db_biceps_curl,0.25,288,1410,283,1127,5,0.2007,0.9826,0.3333,0.5278,short-time-energy
db_biceps_curl,0.5,288,1410,147,1263,141,0.1043,0.5104,0.1731,0.6443,short-time-energy
db_biceps_curl,0.75,288,1410,28,1382,260,0.0199,0.0972,0.033,0.8291,short-time-energy
db_rdl,0.25,293,1182,284,898,9,0.2403,0.9693,0.3851,0.5232,short-time-energy
db_rdl,0.5,293,1182,138,1044,155,0.1168,0.471,0.1871,0.6713,short-time-energy
db_rdl,0.75,293,1182,26,1156,267,0.022,0.0887,0.0353,0.8697,short-time-energy
db_shoulder_press,0.25,277,1131,275,856,2,0.2431,0.9928,0.3906,0.4815,short-time-energy
db_shoulder_press,0.5,277,1131,101,1030,176,0.0893,0.3646,0.1435,0.6206,short-time-energy
db_shoulder_press,0.75,277,1131,10,1121,267,0.0088,0.0361,0.0142,0.8706,short-time-energy
db_squat,0.25,312,1304,310,994,2,0.2377,0.9936,0.3837,0.4889,short-time-energy
db_squat,0.5,312,1304,127,1177,185,0.0974,0.4071,0.1572,0.6281,short-time-energy
db_squat,0.75,312,1304,16,1288,296,0.0123,0.0513,0.0198,0.8565,short-time-energy
db_triceps_curl,0.25,305,1016,286,730,19,0.2815,0.9377,0.433,0.5187,short-time-energy
db_triceps_curl,0.5,305,1016,123,893,182,0.1211,0.4033,0.1862,0.6608,short-time-energy
db_triceps_curl,0.75,305,1016,30,986,275,0.0295,0.0984,0.0454,0.8127,short-time-energy
db_weighted_crunch,0.25,299,998,282,716,17,0.2826,0.9431,0.4348,0.5139,short-time-energy
db_weighted_crunch,0.5,299,998,129,869,170,0.1293,0.4314,0.1989,0.6457,short-time-energy
db_weighted_crunch,0.75,299,998,25,973,274,0.0251,0.0836,0.0386,0.8393,short-time-energy
one_arm_db_row,0.25,310,1033,285,748,25,0.2759,0.9194,0.4244,0.5463,short-time-energy
one_arm_db_row,0.5,310,1033,144,889,166,0.1394,0.4645,0.2144,0.709,short-time-energy
one_arm_db_row,0.75,310,1033,48,985,262,0.0465,0.1548,0.0715,0.8783,short-time-energy
db_bench_press,0.25,340,1700,315,1385,25,0.1853,0.9265,0.3088,0.4855,pca-extrema
db_bench_press,0.5,340,1700,125,1575,215,0.0735,0.3676,0.1225,0.6156,pca-extrema
db_bench_press,0.75,340,1700,22,1678,318,0.0129,0.0647,0.0216,0.8352,pca-extrema
db_biceps_curl,0.25,288,1279,284,995,4,0.222,0.9861,0.3625,0.5728,pca-extrema
db_biceps_curl,0.5,288,1279,190,1089,98,0.1486,0.6597,0.2425,0.6342,pca-extrema
db_biceps_curl,0.75,288,1279,31,1248,257,0.0242,0.1076,0.0396,0.8617,pca-extrema
db_rdl,0.25,293,1609,280,1329,13,0.174,0.9556,0.2944,0.4619,pca-extrema
db_rdl,0.5,293,1609,92,1517,201,0.0572,0.314,0.0967,0.6322,pca-extrema
db_rdl,0.75,293,1609,22,1587,271,0.0137,0.0751,0.0231,0.8309,pca-extrema
db_shoulder_press,0.25,277,1392,262,1130,15,0.1882,0.9458,0.314,0.4518,pca-extrema
db_shoulder_press,0.5,277,1392,83,1309,194,0.0596,0.2996,0.0995,0.5582,pca-extrema
db_shoulder_press,0.75,277,1392,1,1391,276,0.0007,0.0036,0.0012,0.8033,pca-extrema
db_squat,0.25,312,1318,268,1050,44,0.2033,0.859,0.3288,0.5076,pca-extrema
db_squat,0.5,312,1318,125,1193,187,0.0948,0.4006,0.1534,0.6116,pca-extrema
db_squat,0.75,312,1318,14,1304,298,0.0106,0.0449,0.0172,0.8094,pca-extrema
db_triceps_curl,0.25,305,1204,295,909,10,0.245,0.9672,0.391,0.5472,pca-extrema
db_triceps_curl,0.5,305,1204,148,1056,157,0.1229,0.4852,0.1962,0.693,pca-extrema
db_triceps_curl,0.75,305,1204,54,1150,251,0.0449,0.177,0.0716,0.8681,pca-extrema
db_weighted_crunch,0.25,299,1393,286,1107,13,0.2053,0.9565,0.3381,0.4392,pca-extrema
db_weighted_crunch,0.5,299,1393,71,1322,228,0.051,0.2375,0.0839,0.6129,pca-extrema
db_weighted_crunch,0.75,299,1393,7,1386,292,0.005,0.0234,0.0083,0.8527,pca-extrema
one_arm_db_row,0.25,310,1585,309,1276,1,0.195,0.9968,0.3261,0.494,pca-extrema
one_arm_db_row,0.5,310,1585,131,1454,179,0.0826,0.4226,0.1383,0.5984,pca-extrema
one_arm_db_row,0.75,310,1585,14,1571,296,0.0088,0.0452,0.0148,0.8486,pca-extrema
db_bench_press,0.25,340,2511,198,2313,142,0.0789,0.5824,0.1389,0.5456,pca-extrema-fft
db_bench_press,0.5,340,2511,116,2395,224,0.0462,0.3412,0.0814,0.6296,pca-extrema-fft
db_bench_press,0.75,340,2511,18,2493,322,0.0072,0.0529,0.0126,0.8134,pca-extrema-fft
db_biceps_curl,0.25,288,489,167,322,121,0.3415,0.5799,0.4299,0.5022,pca-extrema-fft
db_biceps_curl,0.5,288,489,80,409,208,0.1636,0.2778,0.2059,0.5919,pca-extrema-fft
db_biceps_curl,0.75,288,489,6,483,282,0.0123,0.0208,0.0154,0.7658,pca-extrema-fft
db_rdl,0.25,293,693,202,491,91,0.2915,0.6894,0.4097,0.557,pca-extrema-fft
db_rdl,0.5,293,693,115,578,178,0.1659,0.3925,0.2333,0.6535,pca-extrema-fft
db_rdl,0.75,293,693,28,665,265,0.0404,0.0956,0.0568,0.8293,pca-extrema-fft
db_shoulder_press,0.25,277,388,148,240,129,0.3814,0.5343,0.4451,0.5174,pca-extrema-fft
db_shoulder_press,0.5,277,388,76,312,201,0.1959,0.2744,0.2286,0.6154,pca-extrema-fft
db_shoulder_press,0.75,277,388,8,380,269,0.0206,0.0289,0.0241,0.7974,pca-extrema-fft
db_squat,0.25,312,411,149,262,163,0.3625,0.4776,0.4122,0.5627,pca-extrema-fft
db_squat,0.5,312,411,98,313,214,0.2384,0.3141,0.2711,0.6252,pca-extrema-fft
db_squat,0.75,312,411,13,398,299,0.0316,0.0417,0.036,0.8179,pca-extrema-fft
db_triceps_curl,0.25,305,441,169,272,136,0.3832,0.5541,0.4531,0.5332,pca-extrema-fft
db_triceps_curl,0.5,305,441,99,342,206,0.2245,0.3246,0.2654,0.6031,pca-extrema-fft
