true_label,pred_label,count
db_bench_press,db_bench_press,189
db_bench_press,db_squat,3
db_bench_press,one_arm_db_row,0
db_bench_press,db_triceps_curl,0
db_bench_press,db_weighted_crunch,3
db_bench_press,db_rdl,0
db_bench_press,db_biceps_curl,2
db_bench_press,db_shoulder_press,54
db_squat,db_bench_press,0
db_squat,db_squat,128
db_squat,one_arm_db_row,0
db_squat,db_triceps_curl,0
db_squat,db_weighted_crunch,2
db_squat,db_rdl,0
db_squat,db_biceps_curl,1
db_squat,db_shoulder_press,4
one_arm_db_row,db_bench_press,0
one_arm_db_row,db_squat,0
one_arm_db_row,one_arm_db_row,171
one_arm_db_row,db_triceps_curl,0
one_arm_db_row,db_weighted_crunch,0
one_arm_db_row,db_rdl,16
one_arm_db_row,db_biceps_curl,0
one_arm_db_row,db_shoulder_press,0
db_triceps_curl,db_bench_press,0
db_triceps_curl,db_squat,1
db_triceps_curl,one_arm_db_row,0
db_triceps_curl,db_triceps_curl,255
db_triceps_curl,db_weighted_crunch,0
db_triceps_curl,db_rdl,0
db_triceps_curl,db_biceps_curl,1
db_triceps_curl,db_shoulder_press,0
db_weighted_crunch,db_bench_press,8
db_weighted_crunch,db_squat,3
db_weighted_crunch,one_arm_db_row,0
db_weighted_crunch,db_triceps_curl,0
db_weighted_crunch,db_weighted_crunch,94
db_weighted_crunch,db_rdl,0
db_weighted_crunch,db_biceps_curl,0
db_weighted_crunch,db_shoulder_press,38
db_rdl,db_bench_press,0
db_rdl,db_squat,0
db_rdl,one_arm_db_row,19
db_rdl,db_triceps_curl,0
db_rdl,db_weighted_crunch,0
db_rdl,db_rdl,202
db_rdl,db_biceps_curl,0
db_rdl,db_shoulder_press,0
db_biceps_curl,db_bench_press,0
db_biceps_curl,db_squat,0
db_biceps_curl,one_arm_db_row,0
db_biceps_curl,db_triceps_curl,6
db_biceps_curl,db_weighted_crunch,0
db_biceps_curl,db_rdl,2
db_biceps_curl,db_biceps_curl,270
db_biceps_curl,db_shoulder_press,0
db_shoulder_press,db_bench_press,32
db_shoulder_press,db_squat,9
db_shoulder_press,one_arm_db_row,0
db_shoulder_press,db_triceps_curl,0
db_shoulder_press,db_weighted_crunch,43
db_shoulder_press,db_rdl,0
db_shoulder_press,db_biceps_curl,0
db_shoulder_press,db_shoulder_press,71
