exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,340,1802,215,1587,125,0.1193,0.6324,0.2007,0.5351
db_bench_press,0.5,340,1802,112,1690,228,0.0622,0.3294,0.1046,0.6307
db_bench_press,0.75,340,1802,17,1785,323,0.0094,0.05,0.0159,0.8629
db_biceps_curl,0.25,288,655,273,382,15,0.4168,0.9479,0.579,0.621
db_biceps_curl,0.5,288,655,205,450,83,0.313,0.7118,0.4348,0.6788
db_biceps_curl,0.75,288,655,63,592,225,0.0962,0.2188,0.1336,0.8771
db_rdl,0.25,293,579,182,397,111,0.3143,0.6212,0.4174,0.5911
db_rdl,0.5,293,579,117,462,176,0.2021,0.3993,0.2683,0.6906
db_rdl,0.75,293,579,42,537,251,0.0725,0.1433,0.0963,0.8454
db_shoulder_press,0.25,277,297,133,164,144,0.4478,0.4801,0.4634,0.5606
db_shoulder_press,0.5,277,297,82,215,195,0.2761,0.296,0.2857,0.6383
db_shoulder_press,0.75,277,297,10,287,267,0.0337,0.0361,0.0348,0.8463
db_squat,0.25,312,323,134,189,178,0.4149,0.4295,0.422,0.5652
db_squat,0.5,312,323,86,237,226,0.2663,0.2756,0.2709,0.6506
db_squat,0.75,312,323,23,300,289,0.0712,0.0737,0.0724,0.8236
db_triceps_curl,0.25,305,559,240,319,65,0.4293,0.7869,0.5556,0.6998
db_triceps_curl,0.5,305,559,194,365,111,0.347,0.6361,0.4491,0.7604
db_triceps_curl,0.75,305,559,105,454,200,0.1878,0.3443,0.2431,0.8785
db_weighted_crunch,0.25,299,267,137,130,162,0.5131,0.4582,0.4841,0.5767
db_weighted_crunch,0.5,299,267,82,185,217,0.3071,0.2742,0.2898,0.6899
db_weighted_crunch,0.75,299,267,29,238,270,0.1086,0.097,0.1025,0.8284
one_arm_db_row,0.25,310,364,182,182,128,0.5,0.5871,0.5401,0.6055
one_arm_db_row,0.5,310,364,125,239,185,0.3434,0.4032,0.3709,0.6975
one_arm_db_row,0.75,310,364,49,315,261,0.1346,0.1581,0.1454,0.8502
