exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,304,2260,261,1999,43,0.1155,0.8586,0.2036,0.4606
db_bench_press,0.5,304,2260,89,2171,215,0.0394,0.2928,0.0694,0.5936
db_bench_press,0.75,304,2260,8,2252,296,0.0035,0.0263,0.0062,0.8371
db_biceps_curl,0.25,259,1389,250,1139,9,0.18,0.9653,0.3034,0.5401
db_biceps_curl,0.5,259,1389,146,1243,113,0.1051,0.5637,0.1772,0.6143
db_biceps_curl,0.75,259,1389,22,1367,237,0.0158,0.0849,0.0267,0.8328
db_rdl,0.25,257,2138,192,1946,65,0.0898,0.7471,0.1603,0.4679
db_rdl,0.5,257,2138,59,2079,198,0.0276,0.2296,0.0493,0.669
db_rdl,0.75,257,2138,20,2118,237,0.0094,0.0778,0.0167,0.8311
db_shoulder_press,0.25,243,1533,220,1313,23,0.1435,0.9053,0.2477,0.4238
db_shoulder_press,0.5,243,1533,52,1481,191,0.0339,0.214,0.0586,0.5601
db_shoulder_press,0.75,243,1533,2,1531,241,0.0013,0.0082,0.0023,0.8052
db_squat,0.25,276,1969,205,1764,71,0.1041,0.7428,0.1826,0.4491
db_squat,0.5,276,1969,67,1902,209,0.034,0.2428,0.0597,0.5968
db_squat,0.75,276,1969,7,1962,269,0.0036,0.0254,0.0062,0.808
db_triceps_curl,0.25,270,1690,239,1451,31,0.1414,0.8852,0.2439,0.4832
db_triceps_curl,0.5,270,1690,80,1610,190,0.0473,0.2963,0.0816,0.703
db_triceps_curl,0.75,270,1690,28,1662,242,0.0166,0.1037,0.0286,0.8707
db_weighted_crunch,0.25,261,2184,160,2024,101,0.0733,0.613,0.1309,0.3915
db_weighted_crunch,0.5,261,2184,25,2159,236,0.0114,0.0958,0.0204,0.6279
db_weighted_crunch,0.75,261,2184,2,2182,259,0.0009,0.0077,0.0016,0.796
one_arm_db_row,0.25,262,2174,243,1931,19,0.1118,0.9275,0.1995,0.4017
one_arm_db_row,0.5,262,2174,45,2129,217,0.0207,0.1718,0.0369,0.5878
one_arm_db_row,0.75,262,2174,3,2171,259,0.0014,0.0115,0.0025,0.8037
