true_label,pred_label,count
db_bench_press,db_bench_press,226
db_bench_press,db_squat,1
db_bench_press,db_triceps_curl,0
db_bench_press,one_arm_db_row,0
db_bench_press,db_weighted_crunch,14
db_bench_press,db_biceps_curl,1
db_bench_press,db_rdl,0
db_bench_press,db_shoulder_press,79
db_squat,db_bench_press,0
db_squat,db_squat,189
db_squat,db_triceps_curl,7
db_squat,one_arm_db_row,0
db_squat,db_weighted_crunch,2
db_squat,db_biceps_curl,1
db_squat,db_rdl,0
db_squat,db_shoulder_press,17
db_triceps_curl,db_bench_press,2
db_triceps_curl,db_squat,0
db_triceps_curl,db_triceps_curl,259
db_triceps_curl,one_arm_db_row,0
db_triceps_curl,db_weighted_crunch,0
db_triceps_curl,db_biceps_curl,0
db_triceps_curl,db_rdl,0
db_triceps_curl,db_shoulder_press,0
one_arm_db_row,db_bench_press,0
one_arm_db_row,db_squat,0
one_arm_db_row,db_triceps_curl,0
one_arm_db_row,one_arm_db_row,239
one_arm_db_row,db_weighted_crunch,0
one_arm_db_row,db_biceps_curl,0
one_arm_db_row,db_rdl,50
one_arm_db_row,db_shoulder_press,0
db_weighted_crunch,db_bench_press,23
db_weighted_crunch,db_squat,22
db_weighted_crunch,db_triceps_curl,2
db_weighted_crunch,one_arm_db_row,0
db_weighted_crunch,db_weighted_crunch,167
db_weighted_crunch,db_biceps_curl,1
db_weighted_crunch,db_rdl,0
db_weighted_crunch,db_shoulder_press,54
db_biceps_curl,db_bench_press,0
db_biceps_curl,db_squat,0
db_biceps_curl,db_triceps_curl,0
db_biceps_curl,one_arm_db_row,0
db_biceps_curl,db_weighted_crunch,0
db_biceps_curl,db_biceps_curl,274
db_biceps_curl,db_rdl,1
db_biceps_curl,db_shoulder_press,0
db_rdl,db_bench_press,0
db_rdl,db_squat,0
db_rdl,db_triceps_curl,0
db_rdl,one_arm_db_row,52
db_rdl,db_weighted_crunch,0
db_rdl,db_biceps_curl,0
db_rdl,db_rdl,251
db_rdl,db_shoulder_press,0
db_shoulder_press,db_bench_press,82
db_shoulder_press,db_squat,8
db_shoulder_press,db_triceps_curl,0
db_shoulder_press,one_arm_db_row,0
db_shoulder_press,db_weighted_crunch,23
db_shoulder_press,db_biceps_curl,0
db_shoulder_press,db_rdl,0
db_shoulder_press,db_shoulder_press,118
