exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,304,4048,201,3847,103,0.0497,0.6612,0.0924,0.5134
db_bench_press,0.5,304,4048,90,3958,214,0.0222,0.2961,0.0414,0.6105
db_bench_press,0.75,304,4048,13,4035,291,0.0032,0.0428,0.006,0.8827
db_biceps_curl,0.25,259,702,253,449,6,0.3604,0.9768,0.5265,0.5903
db_biceps_curl,0.5,259,702,169,533,90,0.2407,0.6525,0.3517,0.6638
db_biceps_curl,0.75,259,702,48,654,211,0.0684,0.1853,0.0999,0.8808
db_rdl,0.25,257,989,213,776,44,0.2154,0.8288,0.3419,0.5605
db_rdl,0.5,257,989,125,864,132,0.1264,0.4864,0.2006,0.6666
db_rdl,0.75,257,989,38,951,219,0.0384,0.1479,0.061,0.8511
db_shoulder_press,0.25,243,459,164,295,79,0.3573,0.6749,0.4672,0.528
db_shoulder_press,0.5,243,459,87,372,156,0.1895,0.358,0.2479,0.6085
db_shoulder_press,0.75,243,459,8,451,235,0.0174,0.0329,0.0228,0.7865
db_squat,0.25,276,544,181,363,95,0.3327,0.6558,0.4415,0.572
db_squat,0.5,276,544,112,432,164,0.2059,0.4058,0.2732,0.6478
db_squat,0.75,276,544,21,523,255,0.0386,0.0761,0.0512,0.8169
db_triceps_curl,0.25,270,554,229,325,41,0.4134,0.8481,0.5558,0.6726
db_triceps_curl,0.5,270,554,187,367,83,0.3375,0.6926,0.4539,0.7295
db_triceps_curl,0.75,270,554,89,465,181,0.1606,0.3296,0.216,0.8626
db_weighted_crunch,0.25,261,528,216,312,45,0.4091,0.8276,0.5475,0.5671
db_weighted_crunch,0.5,261,528,127,401,134,0.2405,0.4866,0.3219,0.6819
db_weighted_crunch,0.75,261,528,39,489,222,0.0739,0.1494,0.0989,0.8172
one_arm_db_row,0.25,262,765,222,543,40,0.2902,0.8473,0.4323,0.5864
one_arm_db_row,0.5,262,765,136,629,126,0.1778,0.5191,0.2648,0.6857
one_arm_db_row,0.75,262,765,47,718,215,0.0614,0.1794,0.0915,0.8633
