exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou,method
db_bench_press,0.25,304,2260,261,1999,43,0.1155,0.8586,0.2036,0.4606,pca-extrema
db_bench_press,0.5,304,2260,89,2171,215,0.0394,0.2928,0.0694,0.5936,pca-extrema
db_bench_press,0.75,304,2260,8,2252,296,0.0035,0.0263,0.0062,0.8371,pca-extrema
db_biceps_curl,0.25,259,1389,250,1139,9,0.18,0.9653,0.3034,0.5401,pca-extrema
db_biceps_curl,0.5,259,1389,146,1243,113,0.1051,0.5637,0.1772,0.6143,pca-extrema
db_biceps_curl,0.75,259,1389,22,1367,237,0.0158,0.0849,0.0267,0.8328,pca-extrema
db_rdl,0.25,257,2138,192,1946,65,0.0898,0.7471,0.1603,0.4679,pca-extrema
db_rdl,0.5,257,2138,59,2079,198,0.0276,0.2296,0.0493,0.669,pca-extrema
db_rdl,0.75,257,2138,20,2118,237,0.0094,0.0778,0.0167,0.8311,pca-extrema
db_shoulder_press,0.25,243,1533,220,1313,23,0.1435,0.9053,0.2477,0.4238,pca-extrema
db_shoulder_press,0.5,243,1533,52,1481,191,0.0339,0.214,0.0586,0.5601,pca-extrema
db_shoulder_press,0.75,243,1533,2,1531,241,0.0013,0.0082,0.0023,0.8052,pca-extrema
db_squat,0.25,276,1969,205,1764,71,0.1041,0.7428,0.1826,0.4491,pca-extrema
db_squat,0.5,276,1969,67,1902,209,0.034,0.2428,0.0597,0.5968,pca-extrema
db_squat,0.75,276,1969,7,1962,269,0.0036,0.0254,0.0062,0.808,pca-extrema
db_triceps_curl,0.25,270,1690,239,1451,31,0.1414,0.8852,0.2439,0.4832,pca-extrema
db_triceps_curl,0.5,270,1690,80,1610,190,0.0473,0.2963,0.0816,0.703,pca-extrema
db_triceps_curl,0.75,270,1690,28,1662,242,0.0166,0.1037,0.0286,0.8707,pca-extrema
db_weighted_crunch,0.25,261,2184,160,2024,101,0.0733,0.613,0.1309,0.3915,pca-extrema
db_weighted_crunch,0.5,261,2184,25,2159,236,0.0114,0.0958,0.0204,0.6279,pca-extrema
db_weighted_crunch,0.75,261,2184,2,2182,259,0.0009,0.0077,0.0016,0.796,pca-extrema
one_arm_db_row,0.25,262,2174,243,1931,19,0.1118,0.9275,0.1995,0.4017,pca-extrema
one_arm_db_row,0.5,262,2174,45,2129,217,0.0207,0.1718,0.0369,0.5878,pca-extrema
one_arm_db_row,0.75,262,2174,3,2171,259,0.0014,0.0115,0.0025,0.8037,pca-extrema
db_bench_press,0.25,304,4048,201,3847,103,0.0497,0.6612,0.0924,0.5134,pca-extrema-fft
db_bench_press,0.5,304,4048,90,3958,214,0.0222,0.2961,0.0414,0.6105,pca-extrema-fft
db_bench_press,0.75,304,4048,13,4035,291,0.0032,0.0428,0.006,0.8827,pca-extrema-fft
db_biceps_curl,0.25,259,702,253,449,6,0.3604,0.9768,0.5265,0.5903,pca-extrema-fft
db_biceps_curl,0.5,259,702,169,533,90,0.2407,0.6525,0.3517,0.6638,pca-extrema-fft
db_biceps_curl,0.75,259,702,48,654,211,0.0684,0.1853,0.0999,0.8808,pca-extrema-fft
db_rdl,0.25,257,989,213,776,44,0.2154,0.8288,0.3419,0.5605,pca-extrema-fft
db_rdl,0.5,257,989,125,864,132,0.1264,0.4864,0.2006,0.6666,pca-extrema-fft
db_rdl,0.75,257,989,38,951,219,0.0384,0.1479,0.061,0.8511,pca-extrema-fft
db_shoulder_press,0.25,243,459,164,295,79,0.3573,0.6749,0.4672,0.528,pca-extrema-fft
db_shoulder_press,0.5,243,459,87,372,156,0.1895,0.358,0.2479,0.6085,pca-extrema-fft
db_shoulder_press,0.75,243,459,8,451,235,0.0174,0.0329,0.0228,0.7865,pca-extrema-fft
db_squat,0.25,276,544,181,363,95,0.3327,0.6558,0.4415,0.572,pca-extrema-fft
db_squat,0.5,276,544,112,432,164,0.2059,0.4058,0.2732,0.6478,pca-extrema-fft
db_squat,0.75,276,544,21,523,255,0.0386,0.0761,0.0512,0.8169,pca-extrema-fft
db_triceps_curl,0.25,270,554,229,325,41,0.4134,0.8481,0.5558,0.6726,pca-extrema-fft
db_triceps_curl,0.5,270,554,187,367,83,0.3375,0.6926,0.4539,0.7295,pca-extrema-fft
db_triceps_curl,0.75,270,554,89,465,181,0.1606,0.3296,0.216,0.8626,pca-extrema-fft
db_weighted_crunch,0.25,261,528,216,312,45,0.4091,0.8276,0.5475,0.5671,pca-extrema-fft
db_weighted_crunch,0.5,261,528,127,401,134,0.2405,0.4866,0.3219,0.6819,pca-extrema-fft
db_weighted_crunch,0.75,261,528,39,489,222,0.0739,0.1494,0.0989,0.8172,pca-extrema-fft
one_arm_db_row,0.25,262,765,222,543,40,0.2902,0.8473,0.4323,0.5864,pca-extrema-fft
one_arm_db_row,0.5,262,765,136,629,126,0.1778,0.5191,0.2648,0.6857,pca-extrema-fft
one_arm_db_row,0.75,262,765,47,718,215,0.0614,0.1794,0.0915,0.8633,pca-extrema-fft
