exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,340,7317,326,6991,14,0.0446,0.9588,0.0852,0.4877
db_bench_press,0.5,340,7317,122,7195,218,0.0167,0.3588,0.0319,0.6312
db_bench_press,0.75,340,7317,23,7294,317,0.0031,0.0676,0.006,0.8253
db_biceps_curl,0.25,288,1410,283,1127,5,0.2007,0.9826,0.3333,0.5278
db_biceps_curl,0.5,288,1410,147,1263,141,0.1043,0.5104,0.1731,0.6443
db_biceps_curl,0.75,288,1410,28,1382,260,0.0199,0.0972,0.033,0.8291
db_rdl,0.25,293,1182,284,898,9,0.2403,0.9693,0.3851,0.5232
db_rdl,0.5,293,1182,138,1044,155,0.1168,0.471,0.1871,0.6713
db_rdl,0.75,293,1182,26,1156,267,0.022,0.0887,0.0353,0.8697
db_shoulder_press,0.25,277,1131,275,856,2,0.2431,0.9928,0.3906,0.4815
db_shoulder_press,0.5,277,1131,101,1030,176,0.0893,0.3646,0.1435,0.6206
db_shoulder_press,0.75,277,1131,10,1121,267,0.0088,0.0361,0.0142,0.8706
db_squat,0.25,312,1304,310,994,2,0.2377,0.9936,0.3837,0.4889
db_squat,0.5,312,1304,127,1177,185,0.0974,0.4071,0.1572,0.6281
db_squat,0.75,312,1304,16,1288,296,0.0123,0.0513,0.0198,0.8565
db_triceps_curl,0.25,305,1016,286,730,19,0.2815,0.9377,0.433,0.5187
db_triceps_curl,0.5,305,1016,123,893,182,0.1211,0.4033,0.1862,0.6608
db_triceps_curl,0.75,305,1016,30,986,275,0.0295,0.0984,0.0454,0.8127
db_weighted_crunch,0.25,299,998,282,716,17,0.2826,0.9431,0.4348,0.5139
db_weighted_crunch,0.5,299,998,129,869,170,0.1293,0.4314,0.1989,0.6457
db_weighted_crunch,0.75,299,998,25,973,274,0.0251,0.0836,0.0386,0.8393
one_arm_db_row,0.25,310,1033,285,748,25,0.2759,0.9194,0.4244,0.5463
one_arm_db_row,0.5,310,1033,144,889,166,0.1394,0.4645,0.2144,0.709
one_arm_db_row,0.75,310,1033,48,985,262,0.0465,0.1548,0.0715,0.8783
