plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou,set_key,matched_rate_at_iou_0.50,prediction_ratio,over_segmentation_ratio
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,136,8,0.118,haoyu0512workout | db_bench_press | set 0,0.4444444444444444,7.555555555555555,6.555555555555555
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,93,10,0.1649,haoyu0512workout | db_bench_press | set 0,0.5555555555555556,5.166666666666667,4.166666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,133,4,0.1203,haoyu0512workout | db_bench_press | set 0,0.2222222222222222,7.388888888888889,6.388888888888889
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,11,2,0.2087,haoyu0512workout | db_bench_press | set 0,0.1111111111111111,0.6111111111111112,-0.3888888888888889
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,76,7,0.1705,haoyu0512workout | db_bench_press | set 0,0.3888888888888889,4.222222222222222,3.2222222222222223
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,45,5,0.2441,haoyu0512workout | db_bench_press | set 1,0.4166666666666667,3.75,2.75
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,36,9,0.2884,haoyu0512workout | db_bench_press | set 1,0.75,3.0,2.0
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,46,3,0.2354,haoyu0512workout | db_bench_press | set 1,0.25,3.8333333333333335,2.8333333333333335
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,3,0,0.1887,haoyu0512workout | db_bench_press | set 1,0.0,0.25,-0.75
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,29,7,0.3228,haoyu0512workout | db_bench_press | set 1,0.5833333333333334,2.4166666666666665,1.4166666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/003_haoyu0512workout_db_bench_press_set_2.png,haoyu0512workout,db_bench_press,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,32497,39500,12,46,1,0.2407,haoyu0512workout | db_bench_press | set 2,0.08333333333333333,3.8333333333333335,2.8333333333333335
