plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,136,8,0.118
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,93,10,0.1649
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,133,4,0.1203
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,11,2,0.2087
artifacts_rep_classification/waveform_method_comparison/sets_all/001_haoyu0512workout_db_bench_press_set_0.png,haoyu0512workout,db_bench_press,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,0,21820,18,76,7,0.1705
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,45,5,0.2441
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,36,9,0.2884
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,46,3,0.2354
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,3,0,0.1887
artifacts_rep_classification/waveform_method_comparison/sets_all/002_haoyu0512workout_db_bench_press_set_1.png,haoyu0512workout,db_bench_press,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,19193,25877,12,29,7,0.3228
artifacts_rep_classification/waveform_method_comparison/sets_all/003_haoyu0512workout_db_bench_press_set_2.png,haoyu0512workout,db_bench_press,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,32497,39500,12,46,1,0.2407
artifacts_rep_classification/waveform_method_comparison/sets_all/003_haoyu0512workout_db_bench_press_set_2.png,haoyu0512workout,db_bench_press,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,32497,39500,12,44,2,0.2371
artifacts_rep_classification/waveform_method_comparison/sets_all/003_haoyu0512workout_db_bench_press_set_2.png,haoyu0512workout,db_bench_press,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,32497,39500,12,48,1,0.2247
artifacts_rep_classification/waveform_method_comparison/sets_all/003_haoyu0512workout_db_bench_press_set_2.png,haoyu0512workout,db_bench_press,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,32497,39500,12,3,0,0.1189
artifacts_rep_classification/waveform_method_comparison/sets_all/003_haoyu0512workout_db_bench_press_set_2.png,haoyu0512workout,db_bench_press,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,32497,39500,12,17,12,0.4861
artifacts_rep_classification/waveform_method_comparison/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,haoyu0512workout,db_biceps_curl,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,297108,302834,12,24,4,0.2936
artifacts_rep_classification/waveform_method_comparison/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,haoyu0512workout,db_biceps_curl,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,297108,302834,12,45,5,0.2404
artifacts_rep_classification/waveform_method_comparison/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,haoyu0512workout,db_biceps_curl,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,297108,302834,12,21,3,0.3151
