recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
2026-03-11T17:23:02.797248,1675888,-688.0,794.0,14960.0,-158.0,-22.0,-186.0,1952.0,2645.0,-1534.0
2026-03-11T17:23:02.805539,1675898,-809.0,1282.0,16178.0,-119.0,-68.0,-145.0,1952.0,2645.0,-1534.0
2026-03-11T17:23:02.815517,1675908,-390.0,1362.0,18299.0,-123.0,-31.0,-108.0,3886.0,5259.0,-3079.0
2026-03-11T17:23:02.825690,1675918,-310.0,1043.0,16637.0,-123.0,-31.0,-147.0,3886.0,5259.0,-3079.0
2026-03-11T17:23:02.835339,1675928,-1541.0,1296.0,14914.0,-111.0,-40.0,-147.0,3889.0,5252.0,-3074.0
2026-03-11T17:23:02.868709,1675938,-765.0,1344.0,17012.0,-143.0,-37.0,-211.0,3889.0,5252.0,-3074.0
2026-03-11T17:23:02.871477,1675948,-962.0,1572.0,17752.0,-149.0,-24.0,-164.0,3883.0,5267.0,-3041.0
2026-03-11T17:23:02.876679,1675958,-455.0,1216.0,17271.0,-170.0,-73.0,-151.0,3883.0,5267.0,-3041.0
2026-03-11T17:23:02.876721,1675968,-556.0,851.0,15289.0,-142.0,-64.0,-66.0,3895.0,5258.0,-3019.0
2026-03-11T17:23:02.885330,1675978,-1261.0,1277.0,15792.0,-172.0,-34.0,-224.0,3895.0,5258.0,-3019.0
2026-03-11T17:23:02.895397,1675988,-1327.0,1546.0,17126.0,-187.0,-14.0,-139.0,3882.0,5231.0,-3044.0
2026-03-11T17:23:02.905772,1675998,-822.0,1332.0,17338.0,-166.0,-1.0,-209.0,3882.0,5231.0,-3044.0
2026-03-11T17:23:02.915666,1676008,-34.0,1069.0,18091.0,-166.0,-1.0,-209.0,3884.0,5249.0,-3029.0
2026-03-11T17:23:02.925366,1676018,-471.0,1125.0,17228.0,-145.0,-14.0,-205.0,3884.0,5249.0,-3029.0
2026-03-11T17:23:02.935352,1676028,-309.0,898.0,16460.0,-77.0,-13.0,-126.0,3884.0,5244.0,-3098.0
2026-03-11T17:23:02.944721,1676038,-866.0,1072.0,15655.0,-150.0,-4.0,-226.0,3884.0,5244.0,-3098.0
