pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-07 17:52:41.594374,263376,1431949629,1431950867,-0.974048,0.11712,-0.113216,103.1275,12.32875,38.87625,36.672,-1.328,54.456,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.596061,263377,1431958718,1431959611,-0.976,0.11712,-0.113216,109.051254,8.5225,39.4275,37.432003,-1.328,54.456,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.598852,263378,1431973246,1431974545,-0.919392,0.150304,-0.144448,113.085,5.5825,39.22625,37.192,-2.12,55.480003,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.601818,263379,1431982215,1431983243,-0.919392,0.150304,-0.144448,112.8575,3.08875,37.94875,37.192,-2.12,55.480003,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.604347,263380,1431991142,1431991943,-0.921344,0.167872,-0.15616,109.85625,0.385,38.00125,37.384003,-3.384,54.936,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.632849,263381,1432005628,1432006874,-0.921344,0.167872,-0.15616,105.91,-0.70875,38.5875,37.384003,-3.384,54.936,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.637343,263382,1432014541,1432015594,-0.894016,0.216672,-0.152256,101.3775,-1.505,39.0425,37.432003,-5.184,56.024002,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.638934,263383,1432023488,1432024284,-0.894016,0.216672,-0.152256,94.7275,-1.44375,38.24625,37.432003,-5.184,56.024002,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.694951,263384,1432038048,1432039176,-0.882304,0.242048,-0.1464,84.91875,-1.47,37.3625,37.272003,-5.544,56.488003,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.699373,263385,1432046950,1432047895,-0.882304,0.242048,-0.1464,73.96375,-0.60375,35.84875,37.272003,-5.544,56.488003,none,4,3.0,23978.0,336142.0,302447.0,355096.0,310868.0
2026-04-07 17:52:41.724343,263395,1432055876,1432056654,-0.915488,0.267424,-0.128832,64.925,-0.25375,33.59125,36.88,-6.664001,56.280003,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.726116,263396,1432065305,1432067454,-0.915488,0.267424,-0.128832,58.1875,-0.385,31.272501,36.88,-6.664001,56.280003,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.727687,263397,1432079795,1432080305,-0.962336,0.286944,-0.085888,52.1325,-0.41125,26.9325,36.88,-7.448,56.544003,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.731925,263398,1432089150,1432091054,-0.962336,0.286944,-0.085888,47.95,-1.6975,21.91875,36.88,-7.448,56.544003,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.733602,263399,1432098193,1432099779,-1.007232,0.300608,-0.070272,44.02125,-4.06875,18.27,37.136,-7.856,56.048004,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.735244,263400,1432112815,1432114738,-1.13216,0.284992,-0.148352,37.80875,-6.79875,12.7575,36.52,-8.008,57.736004,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.739343,263401,1432121844,1432123489,-1.13216,0.284992,-0.148352,31.14125,-9.0475,9.8875,36.52,-8.008,57.736004,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.740959,263402,1432130901,1432132231,-1.19072,0.218624,-0.144448,27.37875,-9.1875,8.6975,36.384003,-8.448,58.504,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.771123,263403,1432139842,1432140980,-1.19072,0.218624,-0.144448,24.43,-8.68875,8.49625,36.384003,-8.448,58.504,none,4,3.0,24429.0,340734.0,306573.0,360111.0,315163.0
2026-04-07 17:52:41.801819,263413,1432154438,1432155908,-1.188768,0.10736,-0.05856,20.553751,-9.21375,9.1525,36.600002,-8.392,57.200005,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.803546,263414,1432163387,1432164628,-1.188768,0.10736,-0.05856,16.8,-9.5025,11.97875,36.600002,-8.392,57.200005,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.805162,263415,1432172308,1432173381,-1.218048,-0.025376,0.0,16.19625,-9.10875,18.01625,36.24,-8.472,55.936,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.809519,263416,1432186819,1432188291,-1.218048,-0.025376,0.0,19.32875,-10.045,24.710001,36.24,-8.472,55.936,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.813530,263417,1432195754,1432196996,-1.235616,-0.083936,-0.023424,26.985,-8.9075,30.89625,35.792,-10.512,59.424004,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.815172,263418,1432204663,1432205745,-1.235616,-0.083936,-0.023424,36.12,-7.21875,34.125,35.792,-10.512,59.424004,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.845256,263419,1432219155,1432220714,-1.223904,0.027328,-0.037088,47.355,-5.1275,34.545002,34.872,-10.968,58.800003,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.850591,263420,1432228073,1432229415,-1.223904,0.027328,-0.037088,52.50875,-2.87875,34.85125,34.872,-10.968,58.800003,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.852219,263421,1432237006,1432238106,-1.192672,0.154208,-0.054656,49.805,-2.14375,36.37375,35.84,-11.536,57.456,none,4,3.0,24945.0,345472.0,310701.0,364907.0,319508.0
2026-04-07 17:52:41.884556,263432,1432251680,1432253062,-1.157536,0.132736,-0.035136,39.4975,-1.0675,37.86125,36.136,-11.864,56.848003,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.890659,263433,1432260767,1432261914,-1.157536,0.132736,-0.035136,27.72,-1.19875,37.975,36.136,-11.864,56.848003,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.892386,263434,1432269706,1432270710,-1.157536,0.132736,-0.035136,18.34,-2.23125,38.9025,36.136,-11.864,56.848003,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.894198,263435,1432278666,1432279412,-1.138016,0.042944,-0.072224,14.42,-3.745,38.255,35.728,-11.960001,58.160004,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.924877,263436,1432293707,1432294367,-1.16144,0.091744,-0.07808,15.9775,-4.1125,36.2075,36.208,-12.016001,57.912003,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.929354,263437,1432302989,1432305161,-1.16144,0.091744,-0.07808,21.2625,-3.36,34.57125,36.208,-12.016001,57.912003,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.931096,263438,1432311972,1432313846,-1.089216,0.148352,-0.070272,26.5125,-3.71,30.835001,35.72,-11.992001,56.552002,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.932611,263439,1432320952,1432322533,-1.089216,0.148352,-0.070272,26.53,-5.0225,28.53375,35.72,-11.992001,56.552002,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.994564,263440,1432335487,1432337466,-1.067744,0.177632,-0.042944,18.6375,-7.06125,26.985,35.352,-12.912001,58.648003,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:41.998997,263441,1432344415,1432346159,-1.067744,0.177632,-0.042944,11.03375,-8.02375,23.38,35.352,-12.912001,58.648003,none,4,3.0,24871.0,344722.0,309988.0,364020.0,318835.0
2026-04-07 17:52:42.024813,263451,1432353655,1432354933,-1.038464,0.173728,-0.025376,4.76,-8.47875,20.8775,34.936,-13.304001,57.728004,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.026703,263452,1432368187,1432369883,-1.038464,0.173728,-0.025376,1.1375,-10.47375,19.075,34.936,-13.304001,57.728004,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.030976,263453,1432377103,1432378607,-1.030656,0.1464,-0.023424,-0.3675,-12.32,14.74375,35.112003,-13.072001,57.792004,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.032276,263454,1432386015,1432387281,-1.030656,0.1464,-0.023424,0.14875,-13.41375,9.87875,35.112003,-13.072001,57.792004,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.033810,263455,1432400587,1432402277,-1.038464,0.181536,-0.033184,-0.0875,-13.67625,7.83125,34.264,-13.592001,58.952003,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.038078,263456,1432409675,1432411043,-1.038464,0.181536,-0.033184,-1.7325,-13.825,4.2875,34.264,-13.592001,58.952003,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.039805,263457,1432418659,1432419774,-1.003328,0.22448,0.00976,-6.685,-14.6825,0.41125,34.112003,-13.472001,59.856003,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.041336,263458,1432427593,1432428456,-1.003328,0.22448,0.00976,-12.90625,-14.48125,-2.17,34.112003,-13.472001,59.856003,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.072445,263459,1432442149,1432443447,-0.977952,0.171776,0.025376,-19.15375,-14.2275,-5.25875,33.888,-12.936001,59.688004,none,4,3.0,24329.0,340032.0,306078.0,359799.0,315033.0
2026-04-07 17:52:42.102077,263469,1432451592,1432452202,-0.977952,0.171776,0.056608,-24.98125,-13.965,-6.3175,33.888,-12.936001,59.688004,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.103716,263470,1432460926,1432463030,-1.020896,0.160064,0.056608,-27.02,-12.90625,-9.292501,34.944,-11.984,58.08,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.105275,263471,1432469825,1432471706,-1.020896,0.160064,0.056608,-24.94625,-12.4425,-12.8625,34.944,-11.984,58.08,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.109517,263472,1432484393,1432486638,-1.036512,0.152256,0.080032,-18.73375,-11.47125,-15.575,34.528,-11.808001,58.432003,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.111146,263473,1432493344,1432495322,-1.032608,0.158112,0.074176,-13.02875,-11.4975,-19.285,33.872,-12.184001,57.840004,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.113449,263474,1432502287,1432504048,-1.032608,0.158112,0.074176,-6.615,-11.042501,-23.03875,33.872,-12.184001,57.840004,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.169930,263475,1432516813,1432519005,-1.007232,0.257664,0.066368,-5.90625,-10.45625,-25.38375,33.688,-11.976001,58.504,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.172220,263476,1432525708,1432527676,-1.007232,0.257664,0.066368,-10.43875,-9.0475,-27.83375,33.688,-11.976001,58.504,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.176927,263477,1432534663,1432536346,-1.038464,0.290848,0.040992,-18.55875,-7.30625,-30.07375,33.328003,-11.072001,58.512,none,4,3.0,23885.0,335701.0,302290.0,355360.0,311177.0
2026-04-07 17:52:42.205190,263488,1432549151,1432551541,-1.038464,0.290848,0.040992,-30.51125,-4.97875,-30.135,33.328003,-11.072001,58.512,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.209416,263489,1432558106,1432560253,-1.06384,0.238144,0.011712,-44.30125,-3.42125,-27.615,33.656002,-10.168,58.456,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.211153,263490,1432567052,1432568957,-1.06384,0.238144,0.011712,-52.82375,-0.86625,-26.635,33.656002,-10.168,58.456,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.212697,263491,1432581712,1432583878,-1.057984,0.163968,0.017568,-54.20625,1.1375,-28.455,33.272003,-9.136001,58.376003,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.216797,263492,1432590641,1432592596,-1.057984,0.163968,0.017568,-47.39875,1.96,-30.73875,33.272003,-9.136001,58.376003,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.218607,263493,1432599596,1432601397,-1.059936,0.16592,0.042944,-34.13375,2.80875,-34.09875,33.736,-9.152,58.640003,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.220134,263494,1432608570,1432610164,-1.059936,0.16592,0.042944,-20.8775,2.65125,-36.58375,33.736,-9.152,58.640003,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.251204,263495,1432623055,1432625060,-1.052128,0.216672,0.046848,-11.1125,2.58125,-36.21625,33.552002,-8.92,59.432003,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.253493,263496,1432631970,1432633743,-1.052128,0.216672,0.017568,-6.8075,1.8025,-35.2975,33.552002,-8.92,59.432003,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.257279,263497,1432640908,1432642458,-1.040416,0.173728,0.017568,-5.46,0.63,-33.76625,33.392002,-8.96,55.936,none,4,3.0,24523.0,340889.0,306611.0,359967.0,315336.0
2026-04-07 17:52:42.318969,263507,1432655555,1432657394,-1.052128,0.134688,-0.013664,-5.22375,-0.245,-33.0225,32.568,-8.648001,58.464005,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.323116,263508,1432664509,1432666132,-1.052128,0.134688,-0.013664,-3.07125,-0.18375,-33.9675,32.568,-8.648001,58.464005,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.324809,263509,1432673416,1432674810,-1.085312,0.10736,-0.0488,1.61,-0.04375,-34.055,33.104,-8.360001,58.616,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.326360,263510,1432687881,1432689712,-1.085312,0.10736,-0.0488,6.01125,-0.49,-33.73125,33.104,-8.360001,58.616,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.330543,263511,1432696783,1432698442,-1.069696,0.083936,-0.03904,12.495,-1.67125,-33.6875,33.120003,-8.664001,58.576004,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.332288,263512,1432705694,1432707165,-1.069696,0.083936,-0.03904,22.09375,-2.6775,-32.24375,33.120003,-8.664001,58.576004,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.333848,263513,1432720222,1432722064,-1.069696,0.10736,-0.003904,30.73,-3.5525,-30.765,33.280003,-8.84,60.736004,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.341885,263514,1432729224,1432730816,-1.069696,0.10736,-0.003904,36.28625,-4.17375,-28.56875,33.280003,-8.84,60.736004,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.348032,263515,1432738124,1432739558,-1.067744,0.095648,0.025376,38.68375,-5.36375,-26.73125,32.896,-8.792001,58.776,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.376621,263516,1432747031,1432748275,-1.067744,0.095648,0.025376,39.97875,-6.04625,-24.9725,32.896,-8.792001,58.776,none,4,3.0,24829.0,343804.0,309043.0,362775.0,317724.0
2026-04-07 17:52:42.406033,263526,1432761577,1432763292,-1.065792,0.093696,0.040992,40.95,-6.37875,-23.7125,33.72,-8.992001,58.56,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.408509,263527,1432770483,1432771976,-1.065792,0.093696,0.040992,42.88375,-6.615,-22.4525,33.72,-8.992001,58.56,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.410950,263528,1432779423,1432780707,-1.059936,0.095648,0.033184,45.955,-7.665,-22.35625,32.872,-9.992001,58.760002,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.413497,263529,1432793938,1432795676,-1.059936,0.12688,0.031232,50.37375,-7.7525,-23.30125,31.912,-10.272,61.000004,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.415038,263530,1432802898,1432804381,-1.059936,0.12688,0.031232,55.18625,-7.9275,-25.19125,31.912,-10.272,61.000004,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.423135,263531,1432811867,1432813083,-1.059936,0.12688,0.031232,59.91125,-8.53125,-25.34,31.912,-10.272,61.000004,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.451521,263532,1432826298,1432828029,-1.040416,0.122976,0.027328,65.38875,-9.56375,-26.355,31.832,-11.104,59.464005,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.456100,263533,1432835210,1432836748,-1.0248,0.140544,0.031232,71.9775,-9.975,-27.2825,32.384003,-11.088,58.536003,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.457647,263534,1432844134,1432845458,-1.0248,0.140544,0.031232,76.57125,-10.4825,-27.51875,32.384003,-11.088,58.536003,none,4,3.0,24560.0,341202.0,306687.0,359905.0,315040.0
2026-04-07 17:52:42.482728,263544,1432858670,1432860445,-1.032608,0.12688,0.033184,79.9225,-11.41875,-27.685,31.768002,-12.288,60.352,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.486856,263545,1432867593,1432869164,-1.032608,0.12688,0.033184,82.215004,-13.09875,-28.34125,31.768002,-12.288,60.352,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.488339,263546,1432876542,1432877866,-1.052128,0.138592,0.005856,83.02875,-14.1575,-29.68875,31.536001,-13.464001,60.008003,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.495494,263547,1432885467,1432886596,-1.052128,0.138592,0.005856,81.795,-15.68,-29.2775,31.536001,-13.464001,60.008003,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.524141,263548,1432899964,1432901493,-1.0248,0.121024,-0.011712,78.7675,-17.03625,-28.90125,32.104,-13.144001,59.544003,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.528576,263549,1432908902,1432910224,-1.0248,0.121024,-0.011712,76.4575,-18.19125,-27.44,32.104,-13.144001,59.544003,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.530121,263550,1432917795,1432918884,-1.057984,0.113216,-0.021472,77.3325,-19.32,-26.81,31.920002,-13.960001,59.144,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.560311,263551,1432932301,1432933831,-1.057984,0.113216,-0.021472,78.51375,-20.37,-25.54125,31.920002,-13.960001,59.144,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.597533,263552,1432941246,1432942556,-1.065792,0.122976,-0.00976,77.63875,-22.28625,-24.98125,31.048002,-15.280001,59.784004,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.599803,263553,1432950148,1432951241,-1.065792,0.122976,-0.00976,77.5075,-23.80875,-24.80625,31.048002,-15.280001,59.784004,none,4,3.0,24261.0,338222.0,304051.0,356814.0,312259.0
2026-04-07 17:52:42.633085,263564,1432964729,1432966279,-1.10288,0.099552,-0.023424,78.1375,-26.215,-23.30125,30.840002,-15.872001,59.120003,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.634800,263565,1432973646,1432974982,-1.10288,0.080032,-0.064416,79.9575,-29.33,-20.65875,30.840002,-15.872001,59.120003,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.636390,263566,1432982586,1432983702,-1.108736,0.080032,-0.064416,83.29125,-33.04,-18.82125,30.512001,-16.392,58.712,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.640562,263567,1432997084,1432998611,-1.325408,0.132736,-0.16592,88.7075,-35.8225,-17.17625,29.432001,-17.952002,59.200005,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.642394,263568,1433006142,1433007371,-1.325408,0.132736,-0.16592,94.7625,-36.61,-15.46125,29.432001,-17.952002,59.200005,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.643846,263569,1433015036,1433016113,-1.383968,0.173728,-0.222528,103.32875,-36.25125,-16.5375,29.272001,-19.016,62.72,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.648093,263570,1433024044,1433024840,-1.383968,0.173728,-0.222528,115.42125,-35.665,-18.5325,29.272001,-19.016,62.72,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.650538,263571,1433038735,1433039829,-1.134112,0.28304,0.103456,131.97626,-34.37875,-20.58,30.000002,-20.312,60.672005,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.679122,263572,1433047668,1433048553,-1.134112,0.28304,0.103456,148.28625,-31.85,-24.535,30.000002,-20.312,60.672005,none,4,3.0,24169.0,337560.0,303543.0,356313.0,311891.0
2026-04-07 17:52:42.706132,263582,1433057204,1433059335,-1.067744,0.327936,0.25376,156.5375,-28.2275,-25.40125,29.080002,-21.504002,58.832005,none,4,3.0,24229.0,337616.0,303489.0,356057.0,311829.0
2026-04-07 17:52:42.707671,263583,1433071728,1433072199,-1.067744,0.327936,0.25376,155.49625,-24.115,-23.625,29.080002,-21.504002,58.832005,none,4,3.0,24229.0,337616.0,303489.0,356057.0,311829.0
