pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-07 17:38:16.611819,101984,567002558,567004635,0.80032,-0.460672,-0.167872,0.84875,10.92875,-15.98625,-13.672001,-5.856,14.576001,eccentric,3,3.0,32724.0,402870.0,360878.0,403431.0,363495.0
2026-04-07 17:38:16.640365,101995,567011542,567013379,0.80032,-0.460672,-0.167872,0.41125,12.08375,-16.98375,-13.672001,-5.856,14.576001,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.642833,101996,567020466,567022082,0.80032,-0.42944,-0.154208,0.5775,12.94125,-18.2525,-13.672001,-5.856,14.576001,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.645353,101997,567034944,567036975,0.813984,-0.431392,-0.154208,0.9975,13.15125,-17.28125,-13.616,-6.344,14.896001,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.647894,101998,567044074,567045691,0.821792,-0.441152,-0.162016,-3.0275,14.0175,-16.63375,-14.216001,-6.368001,16.672,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.650277,101999,567053039,567054499,0.821792,-0.441152,-0.162016,-8.39125,14.6825,-15.96,-14.216001,-6.368001,16.672,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.652924,102000,567067558,567069412,0.815936,-0.4392,-0.163968,-8.198751,16.1525,-15.79375,-14.040001,-6.848001,17.12,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.684344,102001,567076496,567078110,0.815936,-0.4392,-0.163968,-4.62,16.9225,-15.18125,-14.040001,-6.848001,17.12,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.687895,102002,567085402,567086793,0.815936,-0.407968,-0.144448,-4.26125,17.5175,-16.42375,-13.984,-6.936,15.616001,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.690364,102003,567099904,567101687,0.815936,-0.407968,-0.144448,-3.9725,18.34875,-17.19375,-13.984,-6.936,15.616001,eccentric,3,3.0,32428.0,401638.0,358546.0,403431.0,360997.0
2026-04-07 17:38:16.719200,102013,567109235,567110460,0.79056,-0.452864,-0.140544,-5.27625,19.74,-18.025,-13.464001,-6.656,13.448001,eccentric,3,3.0,32397.0,401663.0,358724.0,403431.0,361121.0
2026-04-07 17:38:16.721595,102014,567118286,567119321,0.79056,-0.452864,-0.140544,-5.5125,21.7,-17.70125,-13.464001,-6.656,13.448001,eccentric,3,3.0,32397.0,401663.0,358724.0,403431.0,361121.0
