pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 21:47:37.017106,216321,1609504029226777,1629193370,1.157536,0.095648,-0.017568,-1.7325,1.9075,3.5525,-24.792002,14.920001,6.128,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.022485,216322,1609504029235771,1629202160,1.157536,0.095648,-0.017568,0.735,1.6975,2.33625,-24.792002,14.920001,6.128,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.022803,216323,1609504029250364,1629217117,1.061888,0.103456,-0.251808,-0.315,2.73875,2.63375,-24.576,14.784,5.648,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.024543,216324,1609504029259313,1629225784,1.061888,0.103456,-0.251808,-4.47125,3.6225,3.66625,-24.576,14.784,5.648,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.054792,216325,1609504029273853,1629240712,1.13216,0.064416,0.001952,-8.00625,4.7075,4.36625,-24.2,15.088,7.192,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.058342,216326,1609504029282743,1629249361,1.13216,0.064416,-0.191296,-8.8025,5.145,5.52125,-24.2,15.088,7.192,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.060906,216327,1609504029291637,1629258001,1.048224,0.035136,-0.191296,-7.60375,5.355,5.0925,-24.112001,14.872001,5.408001,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.091023,216328,1609504029306077,1629272846,1.030656,0.080032,-0.040992,-6.1075,6.08125,4.40125,-23.672,15.144001,7.432,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.094622,216329,1609504029315005,1629281556,1.030656,0.080032,-0.040992,-5.7925,6.06375,4.10375,-23.672,15.144001,7.432,eccentric,4,3.0,20094.0,141993.0,228112.0,278866.0,262080.0
2026-04-08 21:47:37.122164,216340,1609504029329536,1629296485,1.05408,0.083936,-0.001952,-5.635,6.86,4.725,-23.424002,15.272,6.928001,eccentric,4,3.0,20098.0,141964.0,227896.0,278670.0,261912.0
2026-04-08 21:47:37.124694,216341,1609504029338483,1629305199,1.05408,0.083936,-0.001952,-3.91125,7.91875,5.85375,-23.424002,15.272,6.928001,eccentric,4,3.0,20098.0,141964.0,227896.0,278670.0,261912.0
2026-04-08 21:47:37.127201,216342,1609504029353092,1629320173,1.050176,0.021472,-0.121024,-2.905,7.805,6.90375,-23.448002,14.976001,6.624001,eccentric,4,3.0,20098.0,141964.0,227896.0,278670.0,261912.0
2026-04-08 21:47:37.129625,216343,1609504029362061,1629328902,1.050176,0.021472,-0.121024,-3.47375,7.5775,6.965,-23.448002,14.976001,6.624001,eccentric,4,3.0,20098.0,141964.0,227896.0,278670.0,261912.0
2026-04-08 21:47:37.132111,216344,1609504029370989,1629337578,0.991616,0.074176,-0.142496,-7.00875,6.88625,5.67875,-23.248001,15.248001,6.296001,eccentric,4,3.0,20098.0,141964.0,227896.0,278670.0,261912.0
2026-04-08 21:47:37.163513,216345,1609504029385489,1629352443,0.974048,0.044896,-0.199104,-9.24,6.69375,3.9725,-23.304,15.136001,8.176001,eccentric,4,3.0,20098.0,141964.0,227896.0,278670.0,261912.0
2026-04-08 21:47:37.165861,216346,1609504029394384,1629361108,0.974048,0.044896,-0.199104,-7.34125,7.105,4.725,-23.304,15.136001,8.176001,eccentric,4,3.0,20098.0,141964.0,227896.0,278670.0,261912.0
