pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 21:49:26.959930,236990,1609504139174877,1739141592,1.018944,0.101504,0.035136,-3.87625,-0.63,3.21125,-24.000002,16.632,7.576,eccentric,3,3.0,18790.0,137759.0,225675.0,277443.0,261666.0
2026-04-08 21:49:26.963444,236991,1609504139183817,1739150274,1.018944,0.101504,0.035136,-2.0475,-0.56875,3.045,-24.000002,16.632,7.576,eccentric,3,3.0,18790.0,137759.0,225675.0,277443.0,261666.0
2026-04-08 21:49:26.967535,236992,1609504139192711,1739158922,1.01504,0.115168,-0.021472,-2.94,-0.20125,3.325,-24.192001,16.608002,7.488,eccentric,3,3.0,18790.0,137759.0,225675.0,277443.0,261666.0
2026-04-08 21:49:26.995879,237003,1609504139207234,1739173932,1.013088,0.093696,-0.00976,0.00875,-0.11375,3.01,-24.232,16.808,7.768001,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:26.998462,237004,1609504139216217,1739182636,1.013088,0.093696,-0.00976,2.625,0.2975,2.7475,-24.232,16.808,7.768001,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:27.000880,237005,1609504139230721,1739197559,0.970144,0.130784,-0.017568,-1.9775,0.97125,2.695,-24.208002,16.736,8.232,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:27.005990,237006,1609504139239647,1739206222,0.970144,0.130784,-0.017568,-4.17375,1.67125,3.0975,-24.208002,16.736,8.232,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:27.036218,237007,1609504139254117,1739221072,1.03456,0.121024,0.095648,-1.75,1.575,2.5725,-23.920002,16.776001,7.880001,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:27.039747,237008,1609504139263060,1739229762,1.03456,0.121024,0.095648,-1.1025,1.65375,1.3475,-23.920002,16.776001,7.880001,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:27.042220,237009,1609504139271955,1739238429,1.042368,0.119072,-0.005856,-1.5925,1.33875,1.9425,-24.088001,16.752,7.936,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:27.072364,237010,1609504139286481,1739253304,1.081408,0.113216,0.080032,-2.72125,1.23375,2.2925,-24.088001,16.752,6.216,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:27.076012,237011,1609504139295474,1739261970,1.081408,0.113216,0.080032,-2.835,0.84875,1.4,-23.752,16.728,6.216,eccentric,3,3.0,18720.0,137548.0,225399.0,277251.0,261578.0
2026-04-08 21:49:27.103535,237022,1609504139310006,1739276894,1.042368,0.072224,0.054656,-3.42125,0.70875,1.12875,-23.52,16.768002,7.632,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.106043,237023,1609504139318933,1739285631,1.042368,0.072224,0.054656,-5.39875,1.155,1.5575,-23.52,16.768002,7.632,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.108495,237024,1609504139333644,1739300553,1.06384,0.091744,-0.031232,-6.055,1.19875,2.14375,-23.728,16.792002,7.960001,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.110981,237025,1609504139342551,1739309250,1.06384,0.091744,-0.031232,-5.1275,0.39375,1.88125,-23.728,16.792002,7.960001,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.148861,237026,1609504139351501,1739317909,1.079456,0.113216,0.001952,-2.28375,-0.28875,1.46125,-23.352001,16.960001,7.848001,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.152209,237027,1609504139365986,1739332718,1.079456,0.113216,0.001952,-1.47,0.175,0.315,-23.352001,16.960001,7.848001,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.154698,237028,1609504139374917,1739341376,1.013088,0.109312,-0.003904,-2.40625,1.295,0.21,-23.160002,16.560001,11.336,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.157194,237029,1609504139389406,1739356230,1.03456,0.099552,-0.054656,-3.38625,1.96875,1.30375,-23.2,16.816,7.752,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.187438,237030,1609504139398443,1739364897,1.03456,0.099552,-0.054656,-2.4325,1.96875,2.3275,-23.2,16.816,7.752,eccentric,3,3.0,18787.0,137655.0,225365.0,277155.0,261482.0
2026-04-08 21:49:27.215991,237041,1609504139412956,1739379788,1.04432,0.05856,-0.07808,-3.29,1.12,1.3825,-23.024,16.592001,7.848001,eccentric,3,3.0,18923.0,137990.0,225545.0,277174.0,261455.0
2026-04-08 21:49:27.218490,237042,1609504139421851,1739388461,1.04432,0.05856,-0.07808,-6.72,0.9625,0.49,-23.024,16.592001,7.848001,eccentric,3,3.0,18923.0,137990.0,225545.0,277174.0,261455.0
2026-04-08 21:49:27.220964,237043,1609504139430783,1739397122,0.997472,0.072224,-0.005856,-10.745,1.11125,0.70875,-23.072,16.936,8.096001,eccentric,3,3.0,18923.0,137990.0,225545.0,277174.0,261455.0
2026-04-08 21:49:27.224177,237044,1609504139445259,1739411999,0.997472,0.072224,-0.005856,-9.6775,1.8025,1.40875,-23.072,16.936,8.096001,eccentric,3,3.0,18923.0,137990.0,225545.0,277174.0,261455.0
2026-04-08 21:49:27.225979,237045,1609504139454230,1739420693,1.003328,0.064416,-0.040992,-5.17125,2.2925,1.925,-23.056002,17.016,8.232,eccentric,3,3.0,18923.0,137990.0,225545.0,277174.0,261455.0
