pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-09 22:03:26.520013,164794,1136549932,1136551476,0.895968,-0.571936,0.021472,-18.4275,1.30375,-4.5325,-22.096,19.784,19.312,eccentric,4,3.0,39951.0,342423.0,90995.0,-58.0,-132.0
2026-04-09 22:03:26.523483,164795,1136564485,1136566456,0.901824,-0.554368,0.003904,-15.627501,0.97125,-2.86125,-20.744001,19.504002,18.584002,eccentric,4,3.0,39951.0,342423.0,90995.0,-58.0,-132.0
2026-04-09 22:03:26.525985,164796,1136573453,1136575157,0.901824,-0.554368,0.003904,-14.665,1.44375,-1.44375,-20.744001,19.504002,18.584002,eccentric,4,3.0,39951.0,342423.0,90995.0,-58.0,-132.0
2026-04-09 22:03:26.528524,164797,1136582397,1136583861,0.88816,-0.523136,0.005856,-15.88125,1.77625,0.14,-20.720001,19.640001,18.144001,eccentric,4,3.0,39951.0,342423.0,90995.0,-58.0,-132.0
2026-04-09 22:03:26.534832,164798,1136591344,1136592575,0.88816,-0.523136,0.005856,-19.3725,2.625,1.18125,-20.720001,19.640001,18.144001,eccentric,4,3.0,39951.0,342423.0,90995.0,-58.0,-132.0
2026-04-09 22:03:26.564920,164799,1136605825,1136607524,0.866688,-0.562176,0.001952,-16.415,1.8375,2.00375,-20.92,19.952002,18.144001,eccentric,4,3.0,39951.0,342423.0,90995.0,-58.0,-132.0
2026-04-09 22:03:26.591257,164809,1136615005,1136616326,0.833504,-0.552416,0.001952,-13.475,1.44375,3.24625,-20.6,19.736,17.320002,eccentric,4,3.0,39738.0,341146.0,89864.0,-92.0,-130.0
2026-04-09 22:03:26.593493,164810,1136623974,1136625099,0.833504,-0.552416,0.001952,-13.8075,1.53125,4.2175,-20.6,19.736,17.320002,eccentric,4,3.0,39738.0,341146.0,89864.0,-92.0,-130.0
2026-04-09 22:03:26.595961,164811,1136638538,1136640035,0.798368,-0.534848,0.015616,-15.81125,1.61,4.40125,-20.04,20.176,18.488,eccentric,4,3.0,39738.0,341146.0,89864.0,-92.0,-130.0
2026-04-09 22:03:26.598516,164812,1136647519,1136648744,0.798368,-0.534848,0.015616,-14.980001,0.98875,5.0225,-20.04,20.176,18.488,eccentric,4,3.0,39738.0,341146.0,89864.0,-92.0,-130.0
2026-04-09 22:03:26.601048,164813,1136656446,1136657442,0.792512,-0.513376,-0.007808,-11.7775,0.62125,6.11625,-20.536001,20.072,18.824001,eccentric,4,3.0,39738.0,341146.0,89864.0,-92.0,-130.0
2026-04-09 22:03:26.631223,164814,1136670996,1136672414,0.792512,-0.513376,-0.007808,-8.98625,0.53375,6.01125,-20.536001,20.072,18.824001,eccentric,4,3.0,39738.0,341146.0,89864.0,-92.0,-130.0
2026-04-09 22:03:26.634732,164815,1136679912,1136681115,0.782752,-0.5368,-0.011712,-8.25125,-0.0875,5.95,-20.416,19.976002,17.160002,eccentric,4,3.0,39738.0,341146.0,89864.0,-92.0,-130.0
2026-04-09 22:03:26.637193,164816,1136688918,1136689799,0.782752,-0.5368,-0.011712,-7.83125,-0.56,5.775,-20.416,19.976002,17.160002,eccentric,4,3.0,39738.0,341146.0,89864.0,-92.0,-130.0
