pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-09 22:38:51.709230,548599,3260573638,3260575867,-1.0736,-0.025376,-0.089792,3.2025,2.4325,2.73875,20.728,-27.928001,41.664,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.711799,548600,3260582612,3260584623,-1.018944,-0.017568,-0.044896,2.905,2.09125,4.2,21.952002,-27.832,40.432003,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.714301,548601,3260591561,3260593325,-1.018944,-0.017568,-0.044896,1.26875,2.6075,5.22375,21.952002,-27.832,40.432003,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.725527,548602,3260600516,3260602030,-0.983808,0.040992,0.001952,0.81375,3.12375,5.15375,21.424002,-28.416002,40.816,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.728137,548603,3260614987,3260616960,-0.983808,0.040992,0.001952,2.87,2.9925,4.69875,21.424002,-28.416002,40.816,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.730574,548604,3260623893,3260625644,-1.03456,0.0488,-0.070272,3.77125,3.28125,2.82625,22.176,-27.904001,40.568,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.741865,548605,3260632828,3260634346,-1.03456,0.0488,-0.070272,4.96125,3.5175,0.91875,22.176,-27.904001,40.568,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.744289,548606,3260647332,3260649257,-1.016992,-0.02928,-0.089792,3.36,2.59,0.2275,21.320002,-28.256,40.488003,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.746771,548607,3260656242,3260657938,-1.016992,-0.02928,-0.089792,2.31875,1.40875,0.3325,21.320002,-28.256,40.488003,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.749323,548608,3260665150,3260666600,-0.977952,0.01952,-0.011712,6.0375,1.3125,-0.28875,21.304,-28.600002,40.384003,inter_set_rest,7,5.0,20001.0,403431.0,219105.0,73541.0,5352.0
2026-04-09 22:38:51.844228,548618,3260679637,3260681491,-0.960384,0.021472,-0.035136,5.0575,1.49625,-0.91,21.288,-27.384,41.000004,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.846788,548619,3260688598,3260690207,-0.960384,0.021472,-0.035136,0.21,0.84875,0.91,21.288,-27.384,41.000004,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.849308,548620,3260697542,3260698885,-0.960384,0.021472,-0.035136,-1.26875,0.945,2.275,21.288,-27.384,41.000004,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.880734,548621,3260712053,3260713835,-1.011136,-0.0488,-0.099552,-2.26625,1.015,2.94875,20.792002,-27.984001,40.624,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.885406,548622,3260721008,3260722544,-0.983808,0.013664,-0.05856,0.6475,-0.21,6.13375,20.824001,-28.536001,40.944,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.887044,548623,3260729915,3260731235,-0.983808,0.013664,-0.05856,6.3175,-1.6975,7.7175,20.824001,-28.536001,40.944,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.889254,548624,3260744408,3260746173,-0.938912,0.070272,0.011712,9.59875,-3.15,5.915,20.096,-27.960001,40.976,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.891776,548625,3260753336,3260754854,-0.938912,0.070272,0.011712,8.95125,-3.5525,5.25,20.096,-27.960001,40.976,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.894276,548626,3260762291,3260763569,-0.958432,0.037088,-0.005856,3.84125,-2.9575,5.0225,20.080002,-28.128002,40.912003,inter_set_rest,7,5.0,19988.0,403431.0,219367.0,73767.0,5432.0
2026-04-09 22:38:51.940493,548637,3260771726,3260772670,-0.958432,0.037088,-0.005856,0.175,-2.0125,3.955,20.080002,-28.128002,40.912003,inter_set_rest,7,5.0,20178.0,403431.0,217267.0,72036.0,4941.0
2026-04-09 22:38:51.943063,548638,3260786186,3260787590,-0.981856,0.037088,-0.056608,0.70875,-1.925,3.36,20.328001,-27.952002,41.888,inter_set_rest,7,5.0,20178.0,403431.0,217267.0,72036.0,4941.0
2026-04-09 22:38:51.965632,548639,3260795083,3260796270,-0.981856,0.037088,-0.056608,2.98375,-2.56375,2.89625,20.328001,-27.952002,41.888,inter_set_rest,7,5.0,20178.0,403431.0,217267.0,72036.0,4941.0
2026-04-09 22:38:51.967000,548640,3260803933,3260804987,-0.983808,0.054656,-0.046848,5.4075,-3.1675,2.45875,20.224,-28.400002,41.016003,inter_set_rest,7,5.0,20178.0,403431.0,217267.0,72036.0,4941.0
2026-04-09 22:38:51.973083,548641,3260818404,3260819921,-0.983808,0.054656,0.0,5.94125,-3.7625,1.5925,20.224,-28.400002,41.016003,inter_set_rest,7,5.0,20178.0,403431.0,217267.0,72036.0,4941.0
2026-04-09 22:38:51.975547,548642,3260827329,3260828681,-0.997472,0.066368,0.003904,6.475,-4.2175,1.0325,19.888,-27.840002,39.184002,inter_set_rest,7,5.0,20178.0,403431.0,217267.0,72036.0,4941.0
2026-04-09 22:38:51.978080,548643,3260836227,3260837400,-0.997472,0.066368,0.003904,6.57125,-3.80625,0.6825,19.888,-27.840002,39.184002,inter_set_rest,7,5.0,20178.0,403431.0,217267.0,72036.0,4941.0
