pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-07 17:38:32.153965,104888,582544048,582546138,0.874496,-0.45872,-0.203008,-5.59125,-7.7525,7.3675,-15.304001,-5.904,13.624001,eccentric,3,3.0,32433.0,401546.0,358612.0,403431.0,361219.0
2026-04-07 17:38:32.157051,104889,582553078,582554815,0.874496,-0.45872,-0.203008,-6.37875,-7.84,7.23625,-15.304001,-5.904,13.624001,eccentric,3,3.0,32433.0,401546.0,358612.0,403431.0,361219.0
2026-04-07 17:38:32.158575,104890,582567610,582569723,0.890112,-0.46848,-0.216672,-7.14,-8.04125,7.3325,-14.832001,-5.984,13.376,eccentric,3,3.0,32433.0,401546.0,358612.0,403431.0,361219.0
2026-04-07 17:38:32.165175,104891,582576543,582578441,0.890112,-0.46848,-0.216672,-9.0475,-8.79375,7.7175,-14.832001,-5.984,13.376,eccentric,3,3.0,32433.0,401546.0,358612.0,403431.0,361219.0
2026-04-07 17:38:32.191827,104892,582585497,582587139,0.876448,-0.470432,-0.228384,-8.75875,-8.855001,7.32375,-15.112,-6.288,14.568001,eccentric,3,3.0,32433.0,401546.0,358612.0,403431.0,361219.0
2026-04-07 17:38:32.218795,104902,582595021,582595901,0.876448,-0.470432,-0.228384,-8.11125,-8.9425,7.0875,-15.112,-6.288,14.568001,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.220277,104903,582609626,582610756,0.890112,-0.474336,-0.220576,-7.42875,-8.40875,7.49875,-14.976001,-6.344,13.416,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.225419,104904,582618812,582619524,0.890112,-0.474336,-0.220576,-7.65625,-7.93625,7.70875,-14.976001,-6.344,13.416,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.226352,104905,582628199,582630302,0.874496,-0.474336,-0.23424,-6.88625,-7.07,7.63875,-15.408001,-6.08,14.752001,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.227748,104906,582637147,582639054,0.874496,-0.474336,-0.23424,-4.165,-6.57125,7.525,-15.408001,-6.08,14.752001,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.254575,104907,582651706,582652018,0.860832,-0.460672,-0.216672,-3.36875,-6.36125,7.035,-15.120001,-6.136,13.944,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.256207,104908,582660875,582662773,0.845216,-0.472384,-0.208864,-3.29,-6.09875,6.37,-14.144001,-5.536,13.000001,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.257751,104909,582669781,582671450,0.845216,-0.472384,-0.208864,-4.17375,-6.20375,5.87125,-14.144001,-5.536,13.000001,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.293927,104910,582684291,582686364,0.827648,-0.450912,-0.226432,-4.59375,-6.125,5.1625,-13.960001,-5.488,13.248001,eccentric,3,3.0,32356.0,401319.0,358255.0,403431.0,360835.0
2026-04-07 17:38:32.324532,104920,582693715,582695163,0.827648,-0.450912,-0.226432,-3.9725,-5.66125,4.97875,-13.960001,-5.488,13.248001,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.326257,104921,582702702,582703910,0.837408,-0.425536,-0.230336,-4.22625,-4.94375,4.71625,-13.504001,-5.480001,12.904,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.327749,104922,582711564,582712653,0.837408,-0.425536,-0.230336,-4.83,-4.69875,4.2525,-13.504001,-5.480001,12.904,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.331975,104923,582726146,582727556,0.802272,-0.421632,-0.220576,-5.38125,-4.26125,3.87625,-13.768001,-6.12,14.688001,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.333676,104924,582735084,582736263,0.802272,-0.421632,-0.220576,-6.88625,-3.9375,3.8675,-13.768001,-6.12,14.688001,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.335260,104925,582743985,582744986,0.796416,-0.433344,-0.220576,-7.35,-4.2175,3.28125,-13.912001,-5.968,12.792001,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.370146,104926,582758555,582759958,0.796416,-0.433344,-0.220576,-7.42,-4.90875,2.09125,-13.912001,-5.968,12.792001,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.372408,104927,582767455,582768714,0.792512,-0.41968,-0.236192,-7.455,-5.2325,1.58375,-13.168,-5.544,12.888001,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.376982,104928,582776327,582777426,0.792512,-0.41968,-0.236192,-8.16375,-5.39875,0.98875,-13.168,-5.544,12.888001,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.378778,104929,582790880,582792310,0.80032,-0.413824,-0.240096,-8.75875,-5.3025,0.6125,-13.224001,-5.848,12.400001,eccentric,3,3.0,32376.0,401121.0,357689.0,403431.0,360447.0
2026-04-07 17:38:32.406224,104939,582799982,582801064,0.80032,-0.413824,-0.240096,-8.79375,-5.775,-0.58625,-13.224001,-5.848,12.400001,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.407757,104940,582808965,582809761,0.788608,-0.427488,-0.255712,-7.56,-6.79875,-1.86375,-13.064001,-5.824,14.56,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.411918,104941,582818020,582818498,0.788608,-0.427488,-0.255712,-5.845,-7.60375,-2.61625,-13.064001,-5.824,14.56,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.418089,104942,582832955,582833451,0.786656,-0.435296,-0.236192,-3.87625,-7.90125,-3.325,-13.072001,-5.4,12.56,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.446683,104943,582842311,582844220,0.7808,-0.433344,-0.244,-1.1375,-6.18625,-4.305,-13.016001,-6.064,12.168,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.451207,104944,582851230,582852919,0.7808,-0.433344,-0.244,0.86625,-4.795,-4.83,-13.016001,-6.064,12.168,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.452682,104945,582865729,582867844,0.776896,-0.42944,-0.245952,1.32125,-3.9025,-5.0925,-12.376,-6.168,12.448001,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.483818,104946,582874652,582876546,0.776896,-0.42944,-0.245952,1.49625,-2.68625,-5.8275,-12.376,-6.168,12.448001,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.488350,104947,582883543,582885241,0.7808,-0.445056,-0.240096,1.19,-1.5925,-6.11625,-12.68,-6.064,12.608001,eccentric,3,3.0,32406.0,401205.0,357845.0,403431.0,360685.0
2026-04-07 17:38:32.514098,104958,582892454,582893918,0.7808,-0.445056,-0.240096,1.4175,-0.11375,-6.3175,-12.68,-6.064,12.608001,eccentric,3,3.0,32350.0,401073.0,357668.0,403431.0,360393.0
2026-04-07 17:38:32.518239,104959,582906926,582908805,0.774944,-0.445056,-0.236192,1.5225,2.0825,-6.48375,-12.456,-6.24,12.784,eccentric,3,3.0,32350.0,401073.0,357668.0,403431.0,360393.0
2026-04-07 17:38:32.519884,104960,582915883,582917558,0.774944,-0.445056,-0.236192,2.3275,4.08625,-6.69375,-12.456,-6.24,12.784,eccentric,3,3.0,32350.0,401073.0,357668.0,403431.0,360393.0
2026-04-07 17:38:32.521485,104961,582924837,582926281,0.765184,-0.423584,-0.247904,2.49375,6.20375,-7.21,-12.264001,-6.480001,14.216001,eccentric,3,3.0,32350.0,401073.0,357668.0,403431.0,360393.0
2026-04-07 17:38:32.526828,104962,582939367,582941203,0.765184,-0.423584,-0.247904,2.10875,8.2775,-7.21,-12.264001,-6.480001,14.216001,eccentric,3,3.0,32350.0,401073.0,357668.0,403431.0,360393.0
2026-04-07 17:38:32.555509,104963,582948293,582949929,0.767136,-0.462624,-0.230336,0.56875,10.3425,-8.435,-12.096001,-6.552001,15.000001,eccentric,3,3.0,32350.0,401073.0,357668.0,403431.0,360393.0
