pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-07 17:51:18.671123,247899,1349035214,1349036663,-1.118496,0.10736,-0.080032,-3.85,0.735,10.675,47.296,4.92,31.312002,inter_set_rest,4,3.0,21899.0,319082.0,289047.0,342803.0,304024.0
2026-04-07 17:51:18.671513,247900,1349044292,1349045364,-1.114592,0.080032,-0.08784,-2.135,1.30375,9.835,46.968002,4.832,33.232002,inter_set_rest,4,3.0,21899.0,319082.0,289047.0,342803.0,304024.0
2026-04-07 17:51:18.675851,247901,1349058790,1349060272,-1.114592,0.080032,-0.08784,-3.1675,0.8925,9.205,46.968002,4.832,33.232002,inter_set_rest,4,3.0,21899.0,319082.0,289047.0,342803.0,304024.0
2026-04-07 17:51:18.677572,247902,1349067739,1349068960,-1.108736,0.093696,-0.06832,-3.19375,0.84875,8.23375,46.928,4.84,31.312002,inter_set_rest,4,3.0,21899.0,319082.0,289047.0,342803.0,304024.0
2026-04-07 17:51:18.710325,247903,1349076645,1349077693,-1.108736,0.093696,-0.06832,-1.02375,2.03875,7.7875,46.928,4.84,31.312002,inter_set_rest,4,3.0,21899.0,319082.0,289047.0,342803.0,304024.0
2026-04-07 17:51:18.736416,247913,1349086160,1349086523,-1.114592,0.115168,-0.050752,1.00625,2.82625,7.7175,47.832,4.768,32.416,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.738901,247914,1349101000,1349101478,-1.114592,0.115168,-0.050752,0.4025,3.59625,7.56875,47.832,4.768,32.416,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.740582,247915,1349110354,1349112240,-1.110688,0.124928,-0.040992,-1.6275,4.2875,7.28,47.216003,4.2,31.656002,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.744801,247916,1349119321,1349120993,-1.110688,0.124928,-0.040992,-2.77375,4.34,6.7025,47.216003,4.2,31.656002,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.746360,247917,1349128328,1349129733,-1.079456,0.121024,-0.02928,-1.925,4.69875,6.46625,46.336002,3.504,32.816,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.752540,247918,1349142834,1349144680,-1.079456,0.121024,-0.02928,-2.17,3.9025,5.29375,46.336002,3.504,32.816,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.780659,247919,1349151811,1349153378,-1.0736,0.115168,-0.062464,-3.08875,4.6025,3.70125,46.800003,4.072,32.216003,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.785184,247920,1349160779,1349162047,-1.0736,0.115168,-0.062464,-5.74875,4.64625,2.58125,46.800003,4.072,32.216003,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.786836,247921,1349175329,1349177018,-1.079456,0.13664,-0.085888,-10.01,6.8075,1.74125,47.424004,3.888,31.272001,inter_set_rest,4,3.0,22085.0,320898.0,290476.0,344152.0,305078.0
2026-04-07 17:51:18.813578,247931,1349184291,1349185758,-1.100928,0.122976,-0.050752,-14.752501,8.435,0.5425,47.568,3.848,29.672,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.815269,247932,1349193389,1349194489,-1.100928,0.122976,-0.050752,-18.9175,9.00375,0.25375,47.568,3.848,29.672,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.817080,247933,1349207924,1349209522,-1.077504,0.083936,-0.05856,-20.3,7.91,1.16375,47.448,4.136,32.16,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.847904,247934,1349216855,1349218241,-1.077504,0.083936,-0.05856,-19.3375,7.51625,1.8375,47.448,4.136,32.16,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.850139,247935,1349225819,1349226938,-1.06384,0.064416,-0.072224,-19.32,8.07625,1.74125,47.752003,3.992,31.192001,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.854773,247936,1349234730,1349235634,-1.06384,0.064416,-0.072224,-19.4425,8.785,2.03,47.752003,3.992,31.192001,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.857232,247937,1349249234,1349250570,-1.06384,0.074176,-0.080032,-18.366251,8.8375,2.695,47.664,3.456,30.904001,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.885656,247938,1349258194,1349259281,-1.06384,0.074176,-0.080032,-18.3575,8.21625,4.55,47.664,3.456,30.904001,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.894817,247939,1349267104,1349267970,-1.042368,0.080032,-0.072224,-18.585001,8.14625,5.7225,47.584003,3.544,30.816002,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.896559,247940,1349281588,1349282847,-1.042368,0.080032,-0.072224,-18.76875,7.79625,7.315,47.584003,3.544,30.816002,inter_set_rest,4,3.0,22096.0,320771.0,290087.0,343262.0,304159.0
2026-04-07 17:51:18.924867,247951,1349290564,1349291662,-1.038464,0.11712,-0.07808,-19.4775,8.4,7.11375,48.248,3.68,29.656002,inter_set_rest,4,3.0,22026.0,319662.0,288883.0,341357.0,302449.0
