pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-07 17:49:14.479987,224724,1224849333,1224850893,-0.895968,-0.251808,-0.025376,-11.698751,-4.935,-10.68375,32.392002,16.112001,34.472,eccentric,4,3.0,20896.0,306695.0,277359.0,327036.0,288292.0
2026-04-07 17:49:14.482502,224725,1224858254,1224859585,-0.8784,-0.238144,0.060512,-7.55125,-5.495,-11.9875,31.608002,16.240002,34.344,eccentric,4,3.0,20896.0,306695.0,277359.0,327036.0,288292.0
2026-04-07 17:49:14.484824,224726,1224867159,1224868239,-0.8784,-0.238144,0.060512,-1.37375,-3.61375,-8.74125,31.608002,16.240002,34.344,eccentric,4,3.0,20896.0,306695.0,277359.0,327036.0,288292.0
2026-04-07 17:49:14.487428,224727,1224881708,1224883217,-0.874496,-0.21472,0.121024,0.245,-2.7825,-6.39625,31.824001,16.08,36.16,eccentric,4,3.0,20896.0,306695.0,277359.0,327036.0,288292.0
2026-04-07 17:49:14.522154,224738,1224890759,1224892013,-0.874496,-0.21472,0.121024,-0.83125,-2.07375,-5.94125,31.824001,16.08,36.16,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
2026-04-07 17:49:14.523792,224739,1224899690,1224900804,-0.892064,-0.121024,0.121024,0.735,-0.44625,-5.29375,31.224,16.184,35.816,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
2026-04-07 17:49:14.527995,224740,1224914189,1224915719,-0.892064,-0.121024,0.121024,4.7075,1.8025,-5.38125,31.224,16.184,35.816,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
2026-04-07 17:49:14.529566,224741,1224923190,1224924457,-0.911584,-0.152256,0.13664,1.785,5.425,-5.4425,31.128002,15.936001,34.784,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
2026-04-07 17:49:14.536556,224742,1224932133,1224933207,-0.911584,-0.152256,0.13664,-7.83125,8.225,-5.81875,31.128002,15.936001,34.784,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
2026-04-07 17:49:14.565129,224743,1224941080,1224941975,-0.88816,-0.306464,0.01952,-20.62375,8.75875,-4.5325,31.400002,16.168001,34.024002,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
2026-04-07 17:49:14.569632,224744,1224955547,1224956912,-0.88816,-0.306464,-0.01952,-24.91125,7.42,-3.50875,31.400002,16.168001,34.024002,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
2026-04-07 17:49:14.571268,224745,1224964456,1224965585,-0.915488,-0.249856,-0.01952,-15.4525,5.73125,-2.54625,32.136,16.656,33.584003,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
2026-04-07 17:49:14.577861,224746,1224973371,1224974348,-0.915488,-0.249856,-0.01952,1.435,5.0575,-1.00625,32.136,16.656,33.584003,eccentric,4,3.0,20678.0,304844.0,275917.0,325682.0,287296.0
