pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 21:24:50.220435,28135,1609502662387572,262354095,-0.152256,-0.064416,1.075552,-3.535,-0.67375,-1.8375,14.328001,-15.424001,18.864,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.770608,28136,1609502662396481,262362787,-0.18544,-0.072224,1.016992,-3.675,-0.84,-1.70625,14.328001,-14.768001,17.352001,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.770871,28137,1609502662411014,262377714,-0.18544,-0.072224,1.016992,-2.73875,-1.11125,-2.03875,13.616,-14.768001,17.352001,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.771060,28138,1609502662419959,262386401,-0.210816,-0.070272,0.929152,-0.79625,-0.62125,-2.6775,13.672001,-15.168001,19.376001,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.771328,28139,1609502662434445,262401283,-0.210816,-0.070272,0.929152,0.56,-0.34125,-2.77375,13.672001,-15.168001,19.376001,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.771718,28140,1609502662443350,262409944,-0.242048,-0.0488,0.909632,1.44375,-0.41125,-2.86125,13.968,-14.960001,18.336,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.771815,28141,1609502662452268,262418637,-0.242048,-0.0488,0.909632,1.61875,0.0,-3.0975,13.968,-14.960001,18.336,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.772113,28142,1609502662466828,262433520,-0.226432,-0.052704,0.90768,0.5425,-0.1225,-2.63375,13.776001,-15.376,18.456001,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.772170,28143,1609502662475723,262442177,-0.226432,-0.052704,0.90768,-1.295,-0.70875,-2.3975,13.776001,-15.376,18.456001,inter_set_rest,0,3.0,21533.0,151617.0,246374.0,297573.0,275569.0
2026-04-08 21:27:06.772281,28154,1609502662490214,262457060,-0.222528,-0.0488,0.999424,-3.08,-0.90125,-2.44125,13.632001,-15.296001,20.224,inter_set_rest,0,3.0,21533.0,151617.0,246382.0,297582.0,275569.0
2026-04-08 21:27:06.772389,28155,1609502662499235,262465757,-0.193248,-0.080032,0.958432,-3.87625,-1.19875,-2.31,13.768001,-15.096001,18.720001,inter_set_rest,0,3.0,21533.0,151617.0,246382.0,297582.0,275569.0
2026-04-08 21:27:06.772732,28156,1609502662513900,262480688,-0.193248,-0.080032,0.958432,-3.3775,-0.81375,-2.91375,13.768001,-15.096001,18.720001,inter_set_rest,0,3.0,21533.0,151617.0,246382.0,297582.0,275569.0
2026-04-08 21:27:06.772959,28157,1609502662522835,262489378,-0.244,-0.056608,0.915488,-2.2575,-0.9275,-3.0975,14.256001,-15.072001,18.728,inter_set_rest,0,3.0,21533.0,151617.0,246382.0,297582.0,275569.0
2026-04-08 21:27:06.773064,28158,1609502662531783,262498055,-0.244,-0.056608,0.915488,-0.97125,-0.30625,-3.17625,14.256001,-15.072001,18.728,inter_set_rest,0,3.0,21533.0,151617.0,246382.0,297582.0,275569.0
