pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 21:36:18.986058,88809,1609503351114469,951080697,-1.20048,0.316224,0.076128,7.105,-1.95125,2.98375,26.496002,-25.560001,-1.656,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:18.988542,88810,1609503351129111,951095672,-1.20048,0.316224,0.076128,10.07125,0.9275,4.4275,26.496002,-25.560001,-1.656,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:18.991038,88811,1609503351138082,951104392,-1.227808,0.30256,0.138592,10.19375,2.16125,5.57375,26.784,-25.672,-2.264,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:19.021323,88812,1609503351152568,951119293,-1.260992,0.275232,0.00976,8.417501,2.66875,6.60625,26.392002,-25.832,-2.432,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:19.024869,88813,1609503351161471,951127974,-1.260992,0.275232,0.00976,6.2825,2.19625,5.8275,26.392002,-25.832,-2.432,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:19.027342,88814,1609503351175925,951142795,-1.15168,0.25376,0.046848,6.0025,0.42,4.8475,26.328001,-25.792002,-2.344,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:19.029842,88815,1609503351184836,951151464,-1.15168,0.25376,0.046848,6.6325,-2.17875,3.64875,26.328001,-25.792002,-2.344,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:19.060059,88816,1609503351193825,951160202,-1.196576,0.298656,0.062464,6.4575,-3.43,3.115,26.152,-25.632002,-2.824,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:19.063654,88817,1609503351208322,951175064,-1.196576,0.298656,0.062464,3.03625,-3.63125,2.72125,26.152,-25.632002,-2.824,eccentric,3,3.0,21731.0,150447.0,240207.0,289814.0,268193.0
2026-04-08 21:36:19.094845,88828,1609503351217778,951184063,-1.214144,0.286944,-0.08784,0.62125,-4.17375,2.02125,26.016,-25.720001,-2.464,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.098774,88829,1609503351232356,951198985,-1.214144,0.247904,-0.081984,1.18125,-4.375,2.1525,26.016,-25.720001,-2.464,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.100690,88830,1609503351241327,951207657,-1.241472,0.247904,-0.081984,2.44125,-5.285,2.28375,25.888,-25.800001,-2.608,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.133873,88831,1609503351250219,951216322,-1.241472,0.247904,-0.081984,2.975,-7.5075,3.47375,25.888,-25.800001,-2.608,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.137353,88832,1609503351264783,951231311,-1.20048,0.226432,0.1464,2.09125,-10.50875,3.3425,26.392002,-25.688002,-2.096,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.139802,88833,1609503351273673,951239967,-1.173152,0.226432,0.064416,-1.58375,-14.07,2.05625,25.632002,-25.688002,-2.312,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.142331,88834,1609503351288145,951254850,-1.173152,0.226432,0.064416,-3.75375,-16.58125,-0.41125,25.632002,-25.688002,-2.312,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.144823,88835,1609503351297089,951263556,-1.138016,0.230336,0.181536,-3.7975,-17.19375,-2.555,26.016,-25.872002,-1.48,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.176741,88836,1609503351311593,951278504,-1.138016,0.230336,0.181536,-4.43625,-17.68375,-3.6225,26.016,-25.872002,-1.48,eccentric,3,3.0,21726.0,150457.0,240181.0,289768.0,268169.0
2026-04-08 21:36:19.203643,88847,1609503351320670,951287190,-1.128256,0.240096,0.183488,-4.27875,-19.022501,-3.325,25.696001,-25.744001,-2.768,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
2026-04-08 21:36:19.206047,88848,1609503351329700,951295927,-1.128256,0.240096,0.183488,-3.42125,-19.36375,-3.57,25.696001,-25.744001,-2.768,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
2026-04-08 21:36:19.208624,88849,1609503351344238,951310793,-1.192672,0.189344,0.023424,-2.98375,-19.27625,-3.955,25.480001,-25.560001,-1.216,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
2026-04-08 21:36:19.213584,88850,1609503351353198,951319477,-1.192672,0.16592,0.0976,-5.94125,-18.22625,-2.82625,25.480001,-25.560001,-1.216,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
2026-04-08 21:36:19.216071,88851,1609503351367930,951334627,-1.106784,0.16592,0.0976,-11.73375,-16.9225,-1.53125,25.160002,-25.144001,-0.088,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
2026-04-08 21:36:19.246401,88852,1609503351376882,951343306,-1.089216,0.212768,0.23424,-13.0025,-15.198751,-3.5175,25.064001,-25.104002,-0.736,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
2026-04-08 21:36:19.249932,88853,1609503351391437,951358227,-1.089216,0.212768,0.23424,-8.3825,-11.7425,-7.2975,25.064001,-25.104002,-0.736,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
2026-04-08 21:36:19.252414,88854,1609503351400358,951367023,-1.124352,0.163968,-0.035136,-2.77375,-7.8575,-6.7725,25.192001,-25.256,-0.336,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
2026-04-08 21:36:19.254833,88855,1609503351409293,951375707,-1.124352,0.163968,-0.035136,-0.63,-6.15125,-3.92875,25.192001,-25.256,-0.336,eccentric,3,3.0,21674.0,150086.0,239656.0,289380.0,267975.0
