pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 21:51:32.067317,260520,1609504264267110,1864233599,1.10288,0.093696,-0.16592,5.705,1.89,6.5975,-26.472002,14.456,10.280001,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.069802,260521,1609504264276245,1864242428,1.145824,0.11712,-0.13664,9.275,1.9775,6.20375,-25.968,14.6,11.872001,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.072317,260522,1609504264290736,1864257322,1.059936,0.181536,-0.122976,8.79375,1.8025,5.39,-26.288002,14.488001,12.432,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.074798,260523,1609504264299684,1864266120,1.059936,0.181536,-0.122976,7.2275,2.3625,4.83,-26.288002,14.488001,12.432,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.077346,260524,1609504264308660,1864274832,1.067744,0.206912,-0.017568,4.9175,3.15,6.16,-26.248001,14.72,12.528001,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.117274,260525,1609504264323135,1864289728,1.067744,0.206912,-0.017568,0.07875,4.22625,7.14,-26.248001,14.72,12.528001,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.119486,260526,1609504264332089,1864298401,1.011136,0.140544,-0.249856,-4.61125,4.76875,5.7225,-25.792002,14.688001,10.320001,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.124079,260527,1609504264346553,1864313236,1.011136,0.140544,-0.249856,-5.88,5.01375,6.51875,-25.792002,14.688001,10.320001,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.126521,260528,1609504264355496,1864321914,1.050176,0.0976,-0.238144,-3.29,5.04875,11.43625,-25.400002,14.920001,12.096001,eccentric,4,3.0,20999.0,145268.0,233435.0,283251.0,265827.0
2026-04-08 21:51:32.157113,260539,1609504264369995,1864336824,1.016992,0.124928,-0.015616,-5.355,5.46,10.99,-25.392002,14.984001,10.656,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
2026-04-08 21:51:32.158587,260540,1609504264379053,1864345545,1.016992,0.124928,-0.015616,-5.53,5.495,6.405,-25.392002,14.984001,10.656,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
2026-04-08 21:51:32.162730,260541,1609504264388049,1864354237,1.016992,0.124928,-0.015616,-4.87375,4.75125,7.7525,-25.392002,14.984001,10.656,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
2026-04-08 21:51:32.202265,260542,1609504264402570,1864369167,1.06384,0.119072,-0.142496,-5.7225,4.1125,10.29,-25.04,14.840001,14.088,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
2026-04-08 21:51:32.204521,260543,1609504264411496,1864377828,1.075552,0.113216,-0.046848,-5.32875,4.36625,10.01,-24.960001,15.120001,10.488001,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
2026-04-08 21:51:32.209108,260544,1609504264426000,1864392695,1.075552,0.113216,-0.046848,-6.23,4.20875,9.2225,-24.960001,15.120001,10.488001,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
2026-04-08 21:51:32.211589,260545,1609504264434910,1864401344,1.06384,0.113216,-0.089792,-7.595,4.87375,9.8875,-24.488,15.512001,10.6,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
2026-04-08 21:51:32.240103,260546,1609504264449430,1864416183,1.030656,0.091744,-0.121024,-7.58625,5.355,9.948751,-24.488,15.712001,9.008,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
2026-04-08 21:51:32.244705,260547,1609504264458329,1864424835,1.030656,0.091744,-0.121024,-9.42375,6.6675,10.08875,-24.472002,15.712001,9.008,eccentric,4,3.0,21062.0,145482.0,233665.0,283403.0,265910.0
