pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 22:03:46.114436,398550,1609504998310344,2598276837,-1.00528,-0.003904,0.310368,-4.41875,-3.21125,1.47,32.456,-17.328001,-4.32,eccentric,4,3.0,23878.0,163465.0,250502.0,296034.0,272046.0
2026-04-08 22:03:46.120524,398551,1609504998324857,2598291700,-1.01504,-0.101504,0.242048,-11.83875,-3.185,0.62125,32.528,-17.096,-7.528,eccentric,4,3.0,23878.0,163465.0,250502.0,296034.0,272046.0
2026-04-08 22:03:46.149150,398552,1609504998333747,2598300331,-1.100928,-0.122976,0.10736,-12.99375,-3.9025,-0.28875,32.784,-17.344002,-8.056001,eccentric,4,3.0,23878.0,163465.0,250502.0,296034.0,272046.0
2026-04-08 22:03:46.153621,398553,1609504998348230,2598315235,-1.100928,-0.122976,0.10736,-7.14,-3.71875,-0.46375,32.784,-17.344002,-8.056001,eccentric,4,3.0,23878.0,163465.0,250502.0,296034.0,272046.0
2026-04-08 22:03:46.155121,398554,1609504998357153,2598323922,-1.007232,-0.0488,0.22448,-0.5075,-2.72125,-0.41125,32.376003,-17.592001,-6.16,eccentric,4,3.0,23878.0,163465.0,250502.0,296034.0,272046.0
2026-04-08 22:03:46.187431,398565,1609504998366203,2598332622,-1.007232,-0.0488,0.22448,1.35625,-2.8875,0.37625,32.376003,-17.592001,-6.16,eccentric,4,3.0,23865.0,163391.0,250437.0,296036.0,272061.0
2026-04-08 22:03:46.189004,398566,1609504998380746,2598347522,-1.03456,-0.033184,0.25376,-0.81375,-2.33625,0.595,32.832,-17.584002,-6.104,eccentric,4,3.0,23865.0,163391.0,250437.0,296036.0,272061.0
2026-04-08 22:03:46.193007,398567,1609504998389808,2598356198,-1.03456,-0.033184,0.25376,-4.62,-0.9625,-0.04375,32.832,-17.584002,-6.104,eccentric,4,3.0,23865.0,163391.0,250437.0,296036.0,272061.0
2026-04-08 22:03:46.195947,398568,1609504998404479,2598371243,-1.071648,-0.083936,0.232288,-6.27375,-0.62125,0.665,32.32,-17.376001,-6.232,eccentric,4,3.0,23865.0,163391.0,250437.0,296036.0,272061.0
2026-04-08 22:03:46.226349,398569,1609504998413377,2598379901,-1.018944,-0.037088,0.284992,-2.5725,-1.56625,0.5075,32.736,-17.504002,-6.168,eccentric,4,3.0,23865.0,163391.0,250437.0,296036.0,272061.0
2026-04-08 22:03:46.228543,398570,1609504998427886,2598394788,-1.018944,-0.037088,0.284992,3.64,-1.93375,-0.4375,32.736,-17.504002,-6.168,eccentric,4,3.0,23865.0,163391.0,250437.0,296036.0,272061.0
2026-04-08 22:03:46.233206,398571,1609504998436828,2598403461,-0.999424,-0.050752,0.277184,4.06,-1.07625,-0.34125,32.736,-17.424002,-6.168,eccentric,4,3.0,23865.0,163391.0,250437.0,296036.0,272061.0
2026-04-08 22:03:46.237238,398572,1609504998445785,2598412159,-0.999424,-0.050752,0.277184,-1.2775,0.28,0.6125,32.736,-17.424002,-6.168,eccentric,4,3.0,23865.0,163391.0,250437.0,296036.0,272061.0
2026-04-08 22:03:46.304801,398583,1609504998460265,2598426995,-1.059936,-0.089792,0.158112,-7.6475,0.84875,1.225,32.84,-17.448,-5.608,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.307367,398584,1609504998469243,2598435678,-1.059936,-0.089792,0.158112,-8.77625,1.32125,0.58625,32.84,-17.448,-5.608,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.308951,398585,1609504998483712,2598450573,-1.022848,-0.089792,0.25376,-4.585,1.12875,-0.35875,32.280003,-17.664001,-5.904,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.313175,398586,1609504998492611,2598459237,-1.022848,-0.089792,0.25376,-0.09625,-0.2975,-1.02375,32.280003,-17.664001,-5.904,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.314844,398587,1609504998507121,2598474124,-1.050176,-0.033184,0.187392,3.2375,1.0325,-2.44125,32.632,-17.592001,-6.608,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.317397,398588,1609504998516166,2598482825,-1.067744,0.011712,0.277184,4.55,3.325,-2.0825,32.568,-17.880001,-6.344,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.318871,398589,1609504998525132,2598491596,-1.067744,0.011712,0.277184,3.1675,4.01625,-0.6125,32.568,-17.880001,-6.344,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.362592,398590,1609504998539635,2598506484,-1.032608,0.01952,0.343552,1.00625,3.22875,-0.0175,32.792,-17.744001,-6.728,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.364781,398591,1609504998548579,2598515154,-1.032608,0.01952,0.343552,0.00875,3.185,-0.13125,32.792,-17.744001,-6.728,eccentric,4,3.0,23873.0,163407.0,250455.0,296052.0,272050.0
2026-04-08 22:03:46.401155,398602,1609504998563089,2598530106,-1.042368,-0.033184,0.230336,-0.14,5.46,-0.16625,32.832,-17.76,-6.32,eccentric,4,3.0,23857.0,163435.0,250487.0,296079.0,272062.0
2026-04-08 22:03:46.402675,398603,1609504998572059,2598538838,-1.042368,-0.033184,0.230336,1.89,7.21,0.53375,32.832,-17.76,-6.32,eccentric,4,3.0,23857.0,163435.0,250487.0,296079.0,272062.0
2026-04-08 22:03:46.406112,398604,1609504998586657,2598553832,-1.028704,-0.046848,0.206912,3.66625,8.12875,2.3275,32.36,-17.664001,-6.576,eccentric,4,3.0,23857.0,163435.0,250487.0,296079.0,272062.0
2026-04-08 22:03:46.408606,398605,1609504998595565,2598562552,-1.061888,-0.052704,0.130784,4.45375,9.65125,2.73,32.072002,-17.552,-5.632,eccentric,4,3.0,23857.0,163435.0,250487.0,296079.0,272062.0
