pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 21:44:25.879178,180373,1609503838097859,1438064502,0.763232,0.251808,-0.062464,-5.8625,11.48875,5.285,-17.744001,-9.096001,-15.880001,eccentric,4,3.0,18976.0,138564.0,224652.0,275313.0,260287.0
2026-04-08 21:44:25.915110,180385,1609503838112419,1438077758,0.763232,0.251808,0.05856,-11.22625,11.7775,6.1775,-17.744001,-9.096001,-15.880001,eccentric,4,3.0,19001.0,138665.0,224784.0,275377.0,260284.0
2026-04-08 21:44:25.916787,180386,1609503838121740,1438088478,0.747616,0.257664,0.05856,-13.67625,11.9,7.83125,-18.288,-9.136001,-15.880001,eccentric,4,3.0,19001.0,138665.0,224784.0,275377.0,260284.0
2026-04-08 21:44:25.918371,180387,1609503838136293,1438103395,0.79056,0.251808,0.052704,-14.77,12.94125,9.38875,-18.176,-8.928,-14.712001,eccentric,4,3.0,19001.0,138665.0,224784.0,275377.0,260284.0
2026-04-08 21:44:25.922570,180388,1609503838145251,1438112071,0.79056,0.251808,0.052704,-10.08,13.448751,11.9,-18.176,-8.928,-14.712001,eccentric,4,3.0,19001.0,138665.0,224784.0,275377.0,260284.0
2026-04-08 21:44:25.924302,180389,1609503838154230,1438120831,0.81008,0.288896,0.037088,-6.9825,12.32,14.805,-17.912,-8.728001,-17.544,eccentric,4,3.0,19001.0,138665.0,224784.0,275377.0,260284.0
2026-04-08 21:44:25.925845,180390,1609503838168711,1438135739,0.81008,0.288896,0.037088,-8.1025,12.01375,15.75,-17.912,-8.728001,-17.544,eccentric,4,3.0,19001.0,138665.0,224784.0,275377.0,260284.0
2026-04-08 21:44:25.958262,180391,1609503838177739,1438144412,0.853024,0.240096,0.130784,-9.24875,12.27625,15.1375,-18.312,-8.984,-15.120001,eccentric,4,3.0,19001.0,138665.0,224784.0,275377.0,260284.0
2026-04-08 21:44:25.960489,180392,1609503838192215,1438159252,0.853024,0.240096,0.130784,-12.32875,11.38375,15.37375,-18.312,-8.984,-15.120001,eccentric,4,3.0,19001.0,138665.0,224784.0,275377.0,260284.0
2026-04-08 21:44:25.992670,180403,1609503838201169,1438168043,0.808128,0.25376,0.197152,-12.74,9.94,14.79625,-18.584002,-8.752001,-15.248001,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.025777,180404,1609503838210140,1438176831,0.808128,0.25376,0.197152,-8.7675,8.32125,14.2975,-18.584002,-8.752001,-15.248001,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.027917,180405,1609503838224645,1438191737,0.870592,0.261568,0.033184,-5.45125,7.21875,15.05875,-18.408,-8.648001,-15.256001,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.033083,180406,1609503838233581,1438200402,0.870592,0.298656,0.154208,-4.13,7.16625,13.34375,-18.408,-8.648001,-15.256001,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.034352,180407,1609503838248075,1438213266,0.817888,0.298656,0.154208,-1.5575,7.3675,11.50625,-18.616001,-8.64,-14.768001,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.035878,180408,1609503838257240,1438224048,0.80032,0.255712,0.074176,-1.89875,6.405,11.375,-18.648,-8.664001,-15.112,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.040028,180409,1609503838271701,1438236882,0.80032,0.255712,0.074176,-4.55,3.78,10.68375,-18.648,-8.664001,-15.112,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.042516,180410,1609503838280981,1438247626,0.757376,0.259616,-0.062464,-6.22125,2.17875,9.730001,-18.92,-8.752001,-14.776001,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.048786,180411,1609503838289999,1438256286,0.757376,0.259616,-0.062464,-2.0825,1.0675,9.44125,-18.92,-8.752001,-14.776001,eccentric,4,3.0,19008.0,138810.0,224962.0,275532.0,260336.0
2026-04-08 21:44:26.107050,180422,1609503838305122,1438271334,0.7808,0.257664,-0.050752,1.4175,-0.48125,9.87875,-18.84,-8.288,-15.048,eccentric,4,3.0,19027.0,138934.0,225175.0,275704.0,260458.0
2026-04-08 21:44:26.111358,180423,1609503838314154,1438280091,0.874496,0.218624,-0.02928,3.5875,-2.1525,9.35375,-18.84,-8.288,-15.048,eccentric,4,3.0,19027.0,138934.0,225175.0,275704.0,260458.0
2026-04-08 21:44:26.113012,180424,1609503838328603,1438294979,0.882304,0.218624,-0.02928,4.865,-2.66,7.63,-18.640001,-8.68,-15.776001,eccentric,4,3.0,19027.0,138934.0,225175.0,275704.0,260458.0
2026-04-08 21:44:26.114527,180425,1609503838337601,1438303645,0.86864,0.265472,0.081984,4.48875,-2.03,6.46625,-18.728,-8.360001,-14.856001,eccentric,4,3.0,19027.0,138934.0,225175.0,275704.0,260458.0
2026-04-08 21:44:26.117050,180426,1609503838346529,1438312366,0.86864,0.265472,0.081984,5.67,-1.33875,6.195,-18.728,-8.360001,-14.856001,eccentric,4,3.0,19027.0,138934.0,225175.0,275704.0,260458.0
