pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-09 22:06:42.005990,198645,1332026170,1332027648,-0.933056,0.152256,0.025376,102.36625,-31.8325,-31.22875,11.656,-13.544001,55.760002,none,4,3.0,42538.0,330876.0,83433.0,-159.0,-135.0
2026-04-09 22:06:42.010827,198646,1332035280,1332036355,-0.933056,0.152256,0.025376,106.88125,-30.9225,-33.59125,12.024,-13.544001,55.760002,none,4,3.0,42538.0,330876.0,83433.0,-159.0,-135.0
2026-04-09 22:06:42.035828,198657,1332050336,1332051697,-0.909632,0.128832,0.035136,110.41625,-29.9075,-35.32375,11.672001,-14.200001,54.648003,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.039767,198658,1332059400,1332060517,-0.909632,0.128832,0.035136,113.435,-28.81375,-37.695,11.672001,-14.200001,54.648003,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.041540,198659,1332068451,1332069253,-0.909632,0.154208,0.0488,114.152504,-27.65,-37.66,10.92,-15.352001,55.960003,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.043336,198660,1332077379,1332077972,-0.909632,0.154208,0.0488,112.8925,-26.08375,-36.9425,10.92,-15.352001,55.960003,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.048810,198661,1332092279,1332092949,-0.925248,0.167872,0.050752,113.46125,-24.66625,-37.975,11.232,-15.816001,55.384003,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.081629,198662,1332101638,1332103736,-0.925248,0.167872,0.050752,112.90125,-24.01875,-38.920002,11.232,-15.816001,55.384003,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.086031,198663,1332110567,1332112464,-0.925248,0.169824,0.052704,113.4175,-23.54625,-39.935,11.504001,-17.28,53.88,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.087584,198664,1332119493,1332121157,-0.925248,0.169824,0.052704,114.6075,-22.6625,-40.7225,11.504001,-17.28,53.88,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.094687,198665,1332134029,1332136051,-0.909632,0.169824,0.066368,115.78875,-21.647501,-41.405,11.384001,-18.264,53.736004,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.100874,198666,1332143031,1332144810,-0.909632,0.169824,0.066368,117.6175,-20.51,-43.2425,11.384001,-18.264,53.736004,none,4,3.0,42393.0,332522.0,84507.0,-169.0,-132.0
2026-04-09 22:06:42.131962,198676,1332152518,1332153567,-0.940864,0.169824,0.066368,123.27875,-19.241251,-46.87375,10.712001,-18.76,54.512,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.136055,198677,1332161497,1332162307,-0.940864,0.169824,0.066368,129.71875,-18.3925,-47.9675,10.712001,-18.76,54.512,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.137599,198678,1332176494,1332177206,-0.98576,0.197152,0.072224,133.18375,-17.7975,-48.3175,10.216001,-19.624,52.520004,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.144892,198679,1332185926,1332188022,-0.98576,0.197152,0.072224,136.63126,-17.395,-49.65625,10.216001,-19.624,52.520004,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.181656,198680,1332195013,1332196730,-0.952576,0.203008,0.0976,140.48125,-16.905,-51.42375,10.928,-20.704,50.832,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.186050,198681,1332209487,1332211605,-0.952576,0.173728,0.134688,141.9425,-16.6075,-51.7825,11.216001,-22.104002,51.24,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.187745,198682,1332218424,1332220309,-0.952576,0.173728,0.134688,143.4475,-15.575,-52.75375,11.216001,-22.104002,51.24,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.189615,198683,1332227365,1332229000,-0.976,0.167872,0.1464,151.585,-14.79625,-54.39,11.448001,-22.808,49.224003,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.194630,198684,1332236296,1332237704,-0.976,0.167872,0.1464,158.76,-14.14875,-54.5125,11.448001,-22.808,49.224003,none,4,3.0,42279.0,331553.0,83587.0,-176.0,-131.0
2026-04-09 22:06:42.265567,198694,1332251289,1332252847,-0.974048,0.181536,0.140544,167.72,-13.2125,-54.888752,11.616,-23.992,49.488003,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.269020,198695,1332260307,1332261578,-0.974048,0.181536,0.140544,176.25125,-11.917501,-54.3375,11.616,-23.992,49.488003,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.270594,198696,1332269220,1332270294,-0.979904,0.230336,0.15616,181.5975,-10.29,-53.27,12.536,-25.288002,48.392002,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.273965,198697,1332283716,1332285221,-0.979904,0.230336,0.15616,185.59625,-8.225,-53.62875,12.536,-25.288002,48.392002,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.275565,198698,1332292665,1332293937,-0.99552,0.269376,0.160064,185.57,-7.735,-54.52125,12.152,-26.072,47.512,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.279801,198699,1332301642,1332302745,-0.99552,0.269376,0.160064,180.71375,-5.57375,-55.405,12.152,-26.072,47.512,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.281660,198700,1332310576,1332311445,-0.987712,0.208864,0.121024,172.29625,-3.3425,-55.685,12.456,-26.896002,46.672,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.283102,198701,1332325113,1332326402,-0.987712,0.208864,0.121024,165.62875,-0.63875,-56.8925,12.456,-26.896002,46.672,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.314240,198702,1332334057,1332335135,-1.009184,0.113216,0.091744,170.21375,1.53125,-58.7125,13.224001,-27.656002,46.352,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.316466,198703,1332343020,1332343812,-1.009184,0.113216,0.091744,181.5975,2.5375,-61.7575,13.224001,-27.656002,46.352,none,4,3.0,42105.0,328318.0,81001.0,-168.0,-132.0
2026-04-09 22:06:42.349048,198714,1332357600,1332358800,-1.022848,0.249856,0.152256,179.27,3.465,-61.1275,13.544001,-27.872002,44.264004,none,4,3.0,41644.0,321569.0,75614.0,-175.0,-119.0
2026-04-09 22:06:42.351453,198715,1332366533,1332367518,-1.022848,0.249856,0.152256,171.2375,3.61375,-59.228752,13.544001,-27.872002,44.264004,none,4,3.0,41644.0,321569.0,75614.0,-175.0,-119.0
2026-04-09 22:06:42.353010,198716,1332375489,1332376264,-1.018944,0.199104,0.230336,167.5625,2.86125,-60.03375,13.648001,-28.128002,44.032,none,4,3.0,41644.0,321569.0,75614.0,-175.0,-119.0
2026-04-09 22:06:42.357283,198717,1332389954,1332391228,-1.077504,0.251808,0.244,167.78125,1.5225,-61.013752,14.432001,-28.648,41.496002,none,4,3.0,41644.0,321569.0,75614.0,-175.0,-119.0
2026-04-09 22:06:42.359755,198718,1332398897,1332399970,-1.077504,0.251808,0.244,164.4475,-0.1925,-60.15625,14.432001,-28.648,41.496002,none,4,3.0,41644.0,321569.0,75614.0,-175.0,-119.0
2026-04-09 22:06:42.365929,198719,1332407812,1332408788,-1.13216,0.38064,0.324032,156.8175,-2.89625,-59.9725,15.568001,-29.536001,40.616,none,4,3.0,41644.0,321569.0,75614.0,-175.0,-119.0
2026-04-09 22:06:42.398522,198720,1332422316,1332423761,-1.13216,0.38064,0.324032,147.27126,-6.39625,-59.57,15.568001,-29.536001,40.616,none,4,3.0,41644.0,321569.0,75614.0,-175.0,-119.0
