pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-09 22:35:33.326289,511773,3063223132,3063224868,-1.100928,-0.050752,0.03904,-3.8675,1.54875,-3.325,24.52,-29.52,38.008003,eccentric,7,5.0,31905.0,403431.0,163319.0,27232.0,-67.0
2026-04-09 22:35:33.333082,511774,3063232069,3063233556,-1.100928,-0.050752,0.03904,-3.15875,1.32125,-2.17,24.52,-29.52,38.008003,eccentric,7,5.0,31905.0,403431.0,163319.0,27232.0,-67.0
2026-04-09 22:35:33.333163,511775,3063246583,3063248434,-1.106784,-0.031232,0.033184,-0.525,0.91875,-1.05,25.808,-28.784002,37.0,eccentric,7,5.0,31905.0,403431.0,163319.0,27232.0,-67.0
2026-04-09 22:35:33.361506,511785,3063255548,3063257164,-1.106784,-0.031232,0.001952,0.8575,1.0675,0.28875,25.808,-28.784002,37.0,eccentric,7,5.0,31817.0,403431.0,164829.0,28723.0,-45.0
2026-04-09 22:35:33.363273,511786,3063265022,3063265892,-1.13216,-0.011712,0.011712,2.10875,1.96875,-0.53375,24.352001,-28.984001,37.008003,eccentric,7,5.0,31817.0,403431.0,164829.0,28723.0,-45.0
2026-04-09 22:35:33.364830,511787,3063273992,3063274699,-1.13216,-0.011712,0.011712,2.19625,2.03875,-1.67125,24.352001,-28.984001,37.008003,eccentric,7,5.0,31817.0,403431.0,164829.0,28723.0,-45.0
2026-04-09 22:35:33.372622,511788,3063288994,3063289689,-1.110688,-0.013664,-0.003904,0.18375,1.8375,-1.35625,25.648,-29.096,37.328003,eccentric,7,5.0,31817.0,403431.0,164829.0,28723.0,-45.0
2026-04-09 22:35:33.401347,511789,3063298334,3063300469,-1.087264,-0.042944,-0.005856,-2.03,1.7325,-0.595,23.296001,-28.976002,37.648003,eccentric,7,5.0,31817.0,403431.0,164829.0,28723.0,-45.0
2026-04-09 22:35:33.405701,511790,3063307269,3063309147,-1.087264,-0.042944,-0.005856,-3.96375,1.05875,-0.4025,23.296001,-28.976002,37.648003,eccentric,7,5.0,31817.0,403431.0,164829.0,28723.0,-45.0
2026-04-09 22:35:33.407252,511791,3063316194,3063317862,-1.071648,0.007808,0.031232,-3.465,1.07625,-1.4175,23.296001,-28.976002,37.640003,eccentric,7,5.0,31817.0,403431.0,164829.0,28723.0,-45.0
