pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-09 22:48:52.428339,660854,3862271567,3862272761,0.706624,0.044896,0.521184,1.79375,5.4075,-6.6325,-29.920002,9.84,33.760002,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.433543,660855,3862286088,3862287668,0.76128,0.00976,0.503616,3.7275,4.5325,-7.72625,-28.912,9.704,33.584003,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.434064,660856,3862295057,3862296388,0.76128,0.00976,0.503616,1.7325,4.89125,-7.84,-28.912,9.704,33.584003,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.485800,660857,3862304002,3862305098,0.679296,0.02928,0.562176,-4.01625,5.94125,-8.37375,-28.912,9.704,33.176003,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.490059,660858,3862318461,3862319982,0.679296,0.02928,0.562176,-5.46,4.2525,-8.636251,-29.384,9.360001,33.176003,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.491802,660859,3862327382,3862328714,0.685152,0.007808,0.489952,-2.31,0.65625,-7.805,-29.736002,9.480001,33.552002,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.493325,660860,3862336288,3862337360,0.685152,0.007808,0.489952,-0.3325,-2.61625,-6.41375,-29.736002,9.480001,33.552002,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.497547,660861,3862345181,3862346068,0.675392,-0.060512,0.460672,-1.19,-4.73375,-4.235,-29.408,9.496,33.04,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.499106,660862,3862359669,3862361002,0.675392,-0.060512,0.460672,-1.435,-6.2125,-1.84625,-29.408,9.496,33.04,eccentric,8,5.0,24967.0,403431.0,169755.0,31789.0,348.0
2026-04-09 22:48:52.527054,660872,3862369163,3862369799,0.669536,0.00976,0.456768,-0.6125,-8.085,0.42,-29.544,9.736,34.16,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.531333,660873,3862378635,3862380779,0.669536,0.00976,0.456768,-0.91,-9.12625,1.0325,-29.544,9.736,34.16,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.533733,660874,3862393322,3862393686,0.665632,0.005856,0.42944,-4.17375,-9.9225,2.135,-29.776001,9.712001,33.0,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.562249,660875,3862402581,3862404461,0.665632,0.005856,0.42944,-9.03875,-10.745,3.2725,-29.776001,9.712001,33.0,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.566788,660876,3862411541,3862413171,0.64416,-0.015616,0.398208,-9.77375,-12.075,4.1125,-30.368002,9.904,33.848003,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.568282,660877,3862420443,3862421881,0.64416,-0.015616,0.398208,-7.525,-14.02625,5.6,-30.368002,9.904,33.848003,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.604403,660878,3862434975,3862436869,0.698816,-0.0488,0.431392,-6.72,-15.61,7.4375,-29.408,10.016001,32.52,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.608821,660879,3862443904,3862445557,0.698816,-0.0488,0.415776,-8.68875,-15.5225,9.26625,-29.408,10.016001,32.52,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.610513,660880,3862452824,3862454298,0.704672,-0.035136,0.41968,-12.6875,-14.60375,9.66,-29.008001,10.592001,28.560001,eccentric,8,5.0,25147.0,403431.0,168504.0,30711.0,288.0
2026-04-09 22:48:52.634714,660890,3862467283,3862469146,0.737856,-0.027328,0.365024,-13.440001,-14.18375,9.03,-29.072,9.872001,32.176003,eccentric,8,5.0,25356.0,403431.0,166745.0,28969.0,200.0
2026-04-09 22:48:52.638810,660891,3862476749,3862477907,0.737856,-0.027328,0.365024,-11.57625,-15.53125,10.4475,-29.072,9.872001,32.176003,eccentric,8,5.0,25356.0,403431.0,166745.0,28969.0,200.0
2026-04-09 22:48:52.641480,660892,3862485638,3862486737,0.765184,-0.089792,0.386496,-7.56875,-17.56125,12.50375,-28.824001,10.624001,33.896,eccentric,8,5.0,25356.0,403431.0,166745.0,28969.0,200.0
