timestamp,ax,ay,az
9340262,-784,2092,15661
9340272,-603,2232,16286
9340292,-641,2052,15984
9340302,-692,2190,15940
9340312,-685,2166,15978
9340322,-387,2079,15716
9340332,-724,2192,16393
9340342,-486,2440,16184
9340352,-890,2106,15466
9340362,-927,2201,17713
9340372,-67,2202,15766
9340382,-921,2007,14908
9340392,-635,1936,16408
9340402,-477,2169,15505
9340412,-898,2219,16912
9340422,-246,2153,16197
9340442,-549,2046,15724
9340452,-762,2177,16255
9340462,-738,2274,15520
9340472,-537,2002,15637
9340482,-719,2125,17366
9340492,-523,2369,16186
9340502,22,1855,15600
9340512,-1273,2416,16663
9340522,-174,2063,16121
9340532,-1049,2386,15232
9340542,-385,1924,16147
9340562,-1196,2502,15620
9340572,-332,1952,14140
9340582,-766,1834,14138
9340592,-623,1788,15331
9340602,-1408,2419,17907
9340612,-169,2314,14725
9340622,-434,1794,14124
9340632,-1289,2126,15641
9340642,-1516,2545,17218
9340652,-261,2234,15548
9340662,-1086,2299,17055
9340672,-157,2146,15807
9340682,-673,2120,16846
9340692,-1068,2537,17947
9340702,163,2175,14850
9340712,-468,1851,16241
9340722,-781,2269,13937
9340732,-1291,2068,15705
9340742,-945,2316,17367
9340752,-408,2345,15594
9340762,-587,2024,16729
9340772,-403,2208,15307
9340782,-1391,2365,16484
9340792,-290,2092,16022
9340802,-814,2275,16087
9340812,-619,2167,15885
9340822,-697,2187,16064
9340832,-185,1947,15977
9340862,-797,2339,16512
9340872,-751,2145,15589
9340882,-750,2253,16161
9340892,-491,2036,15768
9340902,-493,2180,16314
9340912,-771,2279,16428
9340922,-53,1840,15887
9340932,-671,2375,16795
9340942,-1081,2213,15282
9340952,-515,2497,17919
9340962,-46,2069,17025
9340972,-634,1861,14412
9340982,-965,2535,16872
9340992,241,1970,17165
9341002,-980,2583,17210
9341012,-1458,2509,15586
9341022,-392,2181,16776
9341032,-1157,2040,13870
9341042,-1329,2152,14206
9341052,-784,2476,17135
9341062,-425,1881,15061
9341072,-1392,2206,14147
9341082,-1176,2477,16244
9341092,-428,1893,15236
9341102,-1375,2275,14799
9341112,-121,2191,17349
9341122,-1141,2266,15287
9341132,148,1896,16409
9341142,-145,1734,15209
9341152,-1112,2307,15592
9341162,48,2068,17259
9341172,123,1937,16651
9341182,-1070,1965,13926
9341192,-1588,2347,14683
9341202,-1559,2444,15128
9341212,-1231,2553,16319
9341222,-166,1953,16150
9341232,-1080,2543,16824
9341242,-92,2124,17137
9341252,-651,2137,15986
9341262,-570,2222,16430
9341272,-1037,2312,15620
9341282,-94,1967,16458
9341302,-642,2231,16211
9341312,-698,2183,15963
9341322,-710,2241,16055
9341332,-555,2348,17070
9341342,-708,2202,15997
9341352,-700,2188,15841
9341362,-557,2163,16179
9341372,-963,2289,15769
9341382,-643,2084,15589
9341393,-775,2242,16017
9341403,-771,2241,16026
9341413,-958,2304,15895
9341423,-709,2147,15574
9341433,-610,2207,16337
9341443,-528,2234,16636
9341453,-704,2146,15768
9341473,-390,2238,16932
9341483,-521,2175,16280
9341493,-935,2250,15724
9341503,-237,1951,16014
9341516,-1135,2587,16764
9341526,-348,2097,16434
9341536,-627,2127,15744
9341546,-643,2137,15865
9341556,-923,2201,15311
9341566,-971,2103,14848
9341576,-735,2169,15766
9341586,-335,2388,17709
9341596,-105,1906,16068
9341606,-1375,2406,15398
9341616,-151,1855,15736
9341626,-1489,2253,14407
9341636,-894,2463,16781
9341646,-760,1939,14695
9341656,-538,2452,17704
9341666,285,1956,17232
9341676,-5,1780,15709
9341686,-138,1735,15027
9341696,-339,1738,14569
9341706,-631,1817,14230
9341726,-1114,2417,16009
9341736,-580,1796,14296
9341746,278,1912,17157
9341756,276,1884,16805
9341766,218,2104,17838
9341776,179,2091,17590
9341786,-609,1835,14385
9341796,-1557,2436,14953
9341806,-1581,2315,14419
9341816,-986,2501,16569
9341826,49,1798,15882
9341836,-535,1872,14641
9341846,-1361,2590,16264
9341856,-664,1868,14460
9341876,199,1847,16458
9341886,-55,1971,16484
9341896,-876,2411,16587
9341906,-297,1837,15310
9341916,-459,2204,16443
9341926,-895,2017,14693
9341936,-1012,2620,17259
9341946,-621,2532,17897
9341956,-671,2112,15687
9341966,-250,1947,15888
9341976,-719,2147,15725
9341986,-620,2223,16198
9341996,-952,1965,14209
9342006,-613,2389,17169
9342016,-674,2103,15625
9342026,-579,2094,15797
9342036,-819,2175,15602
9342046,-591,2360,17103
9342056,-897,2130,15143
9342066,-556,2099,16023
9342076,-603,2122,15843
9342086,-755,2380,16680
9342096,-523,1915,15085
9342106,-779,2454,17023
9342116,-841,1993,14584
9342126,-948,2442,16470
9342136,-451,2035,15830
9342146,-200,2052,16456
9342156,-1281,2276,14883
9342166,28,1978,16836
9342176,-682,2224,16092
9342186,-443,2160,16480
9342196,-1102,2275,15448
9342206,-238,2036,16335
9342216,-1453,2276,14571
9342226,-376,2106,16296
9342236,-1100,2472,16210
9342246,-47,2306,18073
9342256,101,1802,15995
9342267,-1266,2411,15622
9342277,-63,2274,17806
9342287,124,1935,16799
9342297,-517,2242,16604
9342307,126,1790,16064
9342317,-1270,2138,14294
9342327,-1539,2466,15127
9342337,-502,2419,17540
9342347,229,2068,17614
9342357,91,2185,17882
9342367,-325,1744,14739
9342387,-1306,2581,16316
9342397,-18,2253,17899
9342407,-687,1885,14490
9342418,128,2002,17130
9342428,128,2002,17130
9342438,-741,2285,16379
9342448,-813,1923,14339
9342458,-629,2261,16501
9342468,-1318,2261,14678
9342478,-520,2468,17682
9342492,-603,2012,15397
9342502,27,2052,17016
9342512,-774,2146,15647
9342526,-917,2139,15117
9342534,23,2047,17044
9342544,-1057,2145,14743
9342554,-583,2186,16107
9342564,-736,2217,16086
9342574,148,2012,17198
9342586,-916,1950,14259
9342596,-1542,2430,15049
9342606,-791,2567,17544
9342616,-72,2318,18209
9342626,85,2168,17689
9342636,220,1874,16674
9342646,-361,1752,14599
9342656,-104,2159,17300
9342666,-1284,2599,16525
9342676,-1574,2415,14756
9342686,-464,1793,14511
9342696,35,1755,15633
9342706,266,2013,17556
9342716,-930,2130,15137
9342726,-564,2449,17520
9342736,258,1886,16879
9342746,-1238,2202,14708
9342756,-289,2311,17557
9342767,-732,2029,15176
9342777,-708,2135,15577
9342787,-738,2518,17451
9342798,-1085,2221,15101
9342808,-1085,2221,15101
9342818,-625,2008,15341
9342828,-552,2303,16926
9342838,-1204,2129,14387
9342848,-1065,2557,16912
9342868,-1106,2359,15819
9342878,-230,1804,15288
9342888,-571,2216,16428
9342898,-1001,2364,15951
9342908,-176,1877,15649
9342918,-1087,2026,14205
9342938,-479,1810,14718
9342948,-1371,2376,15266
9342965,-1344,2564,16191
9342972,-1344,2564,16191
9342982,21,2038,16980
9342992,-826,2019,14774
9343006,-715,2505,17504
9343016,-983,2138,15063
9343026,98,2024,17138
9343046,-1148,2627,17101
9343056,-1377,2579,16134
9343066,-1422,2565,16012
9343076,-1598,2368,14634
9343086,-1560,2445,15131
9343096,-1561,2319,14521
9343106,-1589,2375,14618
9343126,-769,2317,16447
9343136,-442,1773,14657
9343146,-110,1949,16110
9343160,-1438,2498,15547
9343170,-1480,2263,14287
9343180,-1435,2340,14951
9343190,-1046,1919,13847
9343200,138,1824,15980
9343210,-443,2456,17943
9343226,182,2147,17823
9343236,-48,1862,15886
9343246,-953,2406,16331
9343256,92,1857,16324
9343266,-954,2220,15401
9343276,-70,2084,17058
9343286,-467,2185,16410
9343296,-994,2256,15594
